QueryInput;ScientificName;AphiaID;Rank;Status;Kingdom;Phylum;Class;Order;Family;Genus;Species;FileName;Node name;IsAlive
Aves;Aves;1836;Class;accepted;Animalia;Chordata;Aves;;;;;Aleutian_Islands_252.scor;Birds;True
11707;Cephalopoda;11707;Class;accepted;Animalia;Mollusca;Cephalopoda;;;;;Aleutian_Islands_252.scor;Cephalopods;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Deep L;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Dem S M;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Epiben carnivores;True
1517532;Carangiformes;1517532;Order;accepted;Animalia;Chordata;Teleostei;Carangiformes;;;;Aleutian_Islands_252.scor;Flatfish;True
Hippoglossus stenolepis;Hippoglossus stenolepis;274290;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus stenolepis;Aleutian_Islands_252.scor;Halibut;True
Clupea pallasii;Clupea pallasii;151159;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;Clupea;Clupea pallasii;Aleutian_Islands_252.scor;Herring;True
300735;Gadus chalcogrammus;300735;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Aleutian_Islands_252.scor;Juvenile pollock;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Large pelagics;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Large pred demersals;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Large zooplankton;True
3;Plantae;3;Kingdom;accepted;Plantae;;;;;;;Aleutian_Islands_252.scor;Macrophytes;True
125498;Myctophidae;125498;Family;accepted;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;;;Aleutian_Islands_252.scor;Myctophids;True
Gadus macrocephalus;Gadus macrocephalus;254538;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus macrocephalus;Aleutian_Islands_252.scor;Pacific cod;True
Sebastes alutus;Sebastes alutus;254573;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Sebastidae;Sebastes;Sebastes alutus;Aleutian_Islands_252.scor;POP;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Aleutian_Islands_252.scor;Rockfish;True
Anoplopoma fimbria;Anoplopoma fimbria;159463;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria;Aleutian_Islands_252.scor;Sablefish;True
126140;Oncorhynchus;126140;Genus;accepted;Animalia;Chordata;Teleostei;Salmoniformes;Salmonidae;Oncorhynchus;;Aleutian_Islands_252.scor;Salmon;True
Ammodytes hexapterus;Ammodytes hexapterus;254510;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Ammodytidae;Ammodytes;Ammodytes hexapterus;Aleutian_Islands_252.scor;Sandlance;True
242598;Enhydra lutris;242598;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Enhydra;Enhydra lutris;Aleutian_Islands_252.scor;Sea otters;True
10193;Elasmobranchii;10193;Class;accepted;Animalia;Chordata;Elasmobranchii;;;;;Aleutian_Islands_252.scor;Shark and skates;True
10193;Elasmobranchii;10193;Class;accepted;Animalia;Chordata;Elasmobranchii;;;;;Aleutian_Islands_252.scor;Shark mammal eater;True
106674;Caridea;106674;Infraorder;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;;;;Aleutian_Islands_252.scor;Shrimps;True
1837;Mammalia;1837;Class;accepted;Animalia;Chordata;Mammalia;;;;;Aleutian_Islands_252.scor;Small mammals;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Small pelagics;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Aleutian_Islands_252.scor;Small zooplankton;True
254999;Eumetopias jubatus;254999;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Aleutian_Islands_252.scor;SSL Adults;True
254999;Eumetopias jubatus;254999;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Aleutian_Islands_252.scor;SSL embryo;True
254999;Eumetopias jubatus;254999;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Aleutian_Islands_252.scor;SSL juveniles;True
254999;Eumetopias jubatus;254999;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Aleutian_Islands_252.scor;SSL pups;True
148723;Odontoceti;148723;Superfamily;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;;;;Aleutian_Islands_252.scor;Toothed whales;True
137102;Orcinus orca;137102;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Orcinus;Orcinus orca;Aleutian_Islands_252.scor;Transient orca;True
125523;Carangidae;125523;Family;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;;;Australia_North_West_Shelf_405.scor;AdCarangids;True
10193;Elasmobranchii;10193;Class;accepted;Animalia;Chordata;Elasmobranchii;;;;;Australia_North_West_Shelf_405.scor;Coastal sharks;True
1130;Decapoda;1130;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;;;;Australia_North_West_Shelf_405.scor;ComPrawns;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Australia_North_West_Shelf_405.scor;DpLgFish;True
125449;Synodontidae;125449;Family;accepted;Animalia;Chordata;Teleostei;Aulopiformes;Synodontidae;;;Australia_North_West_Shelf_405.scor;DpLizard;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Australia_North_West_Shelf_405.scor;DpMedFish;True
125547;Mullidae;125547;Family;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;;;Australia_North_West_Shelf_405.scor;DpMullidae;True
151459;Nemipteridae;151459;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;;;Australia_North_West_Shelf_405.scor;DpNemipterids;True
398536;Photopectoralis bindus;398536;Species;accepted;Animalia;Chordata;Teleostei;Acanthuriformes;Leiognathidae;Photopectoralis;Photopectoralis bindus;Australia_North_West_Shelf_405.scor;DpPonyfish;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Australia_North_West_Shelf_405.scor;DpSmFish;True
218590;Argyrops spinifer;218590;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Argyrops;Argyrops spinifer;Australia_North_West_Shelf_405.scor;FryPBream;True
125523;Carangidae;125523;Family;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;;;Australia_North_West_Shelf_405.scor;JuvCarangids;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Australia_North_West_Shelf_405.scor;LgZooplankton;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Australia_North_West_Shelf_405.scor;Macrofauna;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Australia_North_West_Shelf_405.scor;Megabenthos;True
10193;Elasmobranchii;10193;Class;accepted;Animalia;Chordata;Elasmobranchii;;;;;Australia_North_West_Shelf_405.scor;Rays;True
218499;Lutjanus sebae;218499;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;Lutjanus sebae;Australia_North_West_Shelf_405.scor;RedEmperor;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Australia_North_West_Shelf_405.scor;SessEpibenthos;True
206059;Lethrinus;206059;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lethrinidae;Lethrinus;;Australia_North_West_Shelf_405.scor;ShLethrinids;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Australia_North_West_Shelf_405.scor;ShLgFish;True
125449;Synodontidae;125449;Family;accepted;Animalia;Chordata;Teleostei;Aulopiformes;Synodontidae;;;Australia_North_West_Shelf_405.scor;ShLizard;True
159791;Lutjanus;159791;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;;Australia_North_West_Shelf_405.scor;ShLutjanids;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Australia_North_West_Shelf_405.scor;ShMedFish;True
125547;Mullidae;125547;Family;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;;;Australia_North_West_Shelf_405.scor;ShMullidae;True
151459;Nemipteridae;151459;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;;;Australia_North_West_Shelf_405.scor;ShNemipterirds;True
218237;Epinephelus multinotatus;218237;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Epinephelidae;Epinephelus;Epinephelus multinotatus;Australia_North_West_Shelf_405.scor;ShSerranids;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Australia_North_West_Shelf_405.scor;ShSmFish;True
279261;Diagramma labiosum;279261;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Diagramma;Diagramma labiosum;Australia_North_West_Shelf_405.scor;ShSweetlip;True
219873;Abalistes stellatus;219873;Species;accepted;Animalia;Chordata;Teleostei;Tetraodontiformes;Balistidae;Abalistes;Abalistes stellatus;Australia_North_West_Shelf_405.scor;ShTriggerFish;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Australia_North_West_Shelf_405.scor;SmallPelagics;True
125559;Scombridae;125559;Family;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;;;Australia_North_West_Shelf_405.scor;SmTunas;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Australia_North_West_Shelf_405.scor;SmZooplankton;True
11707;Cephalopoda;11707;Class;accepted;Animalia;Mollusca;Cephalopoda;;;;;Australia_North_West_Shelf_405.scor;Squid;True
Sphyraena;Sphyraena;126084;Genus;accepted;Animalia;Chordata;Teleostei;Carangaria incertae sedis;Sphyraenidae;Sphyraena;;Bamboung_180.scor;Barracudas +;True
Monodactylus sebae;Monodactylus sebae;278304;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Monodactylidae;Monodactylus;Monodactylus sebae;Bamboung_180.scor;Breton africain;True
Caranx rhonchus;Caranx rhonchus;126806;Species;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Caranx;Caranx rhonchus;Bamboung_180.scor;Carangues;True
1130;Decapoda;1130;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;;;;Bamboung_180.scor;Crabes;True
Argis levior;Argis levior;515539;Species;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Crangonidae;Argis;Argis levior;Bamboung_180.scor;Crevettes;True
2688;Cetacea;2688;Infraorder;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;;;;Bamboung_180.scor;Dauphins;True
293496;Teleostei;293496;Class;accepted;Animalia;Chordata;Teleostei;;;;;Bamboung_180.scor;Diagramme +;True
157873;Elops;157873;Genus;accepted;Animalia;Chordata;Teleostei;Elopiformes;Elopidae;Elops;;Bamboung_180.scor;Elops;True
Ethmalosa;Ethmalosa;269117;Genus;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Ethmalosa;;Bamboung_180.scor;Ethmalose;True
Gerres;Gerres;204064;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Gerreidae;Gerres;;Bamboung_180.scor;Gerres;True
293496;Teleostei;293496;Class;accepted;Animalia;Chordata;Teleostei;;;;;Bamboung_180.scor;Grand capitaine;True
712254;Carlarius;712254;Genus;accepted;Animalia;Chordata;Teleostei;Siluriformes;Ariidae;Carlarius;;Bamboung_180.scor;Mâchoirons mari;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bamboung_180.scor;Macrobenthos;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bamboung_180.scor;Meiobenthos;True
125546;Mugilidae;125546;Family;accepted;Animalia;Chordata;Teleostei;Mugiliformes;Mugilidae;;;Bamboung_180.scor;Mulets;True
Aves;Aves;1836;Class;accepted;Animalia;Chordata;Aves;;;;;Bamboung_180.scor;Oiseaux;True
Otolithes;Otolithes;205008;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sciaenidae;Otolithes;;Bamboung_180.scor;Otolithes +;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bamboung_180.scor;Petits benthoph;True
Pomadasys;Pomadasys;126011;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Pomadasys;;Bamboung_180.scor;Pomadasys;True
Trachinotus;Trachinotus;125945;Genus;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachinotus;;Bamboung_180.scor;Pompaneau +;True
368409;Batoidea;368409;Infraclass;accepted;Animalia;Chordata;Elasmobranchii;;;;;Bamboung_180.scor;Raies;True
368408;Selachii;368408;Infraclass;accepted;Animalia;Chordata;Elasmobranchii;;;;;Bamboung_180.scor;Requins;True
Sardinella;Sardinella;125721;Genus;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Sardinella;;Bamboung_180.scor;Sardinelle +;True
Cynoglossus;Cynoglossus;126112;Genus;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Cynoglossidae;Cynoglossus;;Bamboung_180.scor;Sole-langue +;True
125612;Tetraodontidae;125612;Family;accepted;Animalia;Chordata;Teleostei;Tetraodontiformes;Tetraodontidae;;;Bamboung_180.scor;Tétrodon +;True
151383;Cichlidae;151383;Family;accepted;Animalia;Chordata;Teleostei;Cichliformes;Cichlidae;;;Bamboung_180.scor;Tilapias;True
151453;Lutjanidae;151453;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;;;Bamboung_180.scor;Vivaneaux +;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bamboung_180.scor;Zooplancton;True
Engraulis encrasicolus;Engraulis encrasicolus;126426;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;Bay_of_Biscay_335.scor;Anchovy;True
6;Bacteria;6;Kingdom;accepted;Bacteria;;;;;;;Bay_of_Biscay_335.scor;Bacteria;True
11707;Cephalopoda;11707;Class;accepted;Animalia;Mollusca;Cephalopoda;;;;;Bay_of_Biscay_335.scor;Benthic cephalopods;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Benthic meiofauna;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Bay_of_Biscay_335.scor;Benthivorous demersal fish;True
Tursiops truncatus;Tursiops truncatus;137111;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Tursiops;Tursiops truncatus;Bay_of_Biscay_335.scor;Bottlenose dolphins;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Carnivorous benthic invertebrates;True
Delphinus delphis;Delphinus delphis;137094;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Delphinus;Delphinus delphis;Bay_of_Biscay_335.scor;Common dolphins;True
Phocoena phocoena;Phocoena phocoena;137117;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Phocoenidae;Phocoena;Phocoena phocoena;Bay_of_Biscay_335.scor;Harbour porpoises;True
Trachurus trachurus;Trachurus trachurus;126822;Species;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;Trachurus trachurus;Bay_of_Biscay_335.scor;Horse mackerel;True
Globicephala melas;Globicephala melas;137097;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Globicephala;Globicephala melas;Bay_of_Biscay_335.scor;Long-finned pilot whales;True
Scomber scombrus;Scomber scombrus;127023;Species;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;Scomber scombrus;Bay_of_Biscay_335.scor;Mackerel;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Macrozooplankton;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Mesozooplankton;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Microzooplankton;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Necrophagous benthic invertebrates;True
11707;Cephalopoda;11707;Class;accepted;Animalia;Mollusca;Cephalopoda;;;;;Bay_of_Biscay_335.scor;Pelagic cephalopods;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Bay_of_Biscay_335.scor;Piscivorous and benthivorous demersal fish;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Bay_of_Biscay_335.scor;Piscivorous demersal fish;True
Aves;Aves;1836;Class;accepted;Animalia;Chordata;Aves;;;;;Bay_of_Biscay_335.scor;Pursuit divers seabirds;True
Sardina pilchardus;Sardina pilchardus;126421;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Alosidae;Sardina;Sardina pilchardus;Bay_of_Biscay_335.scor;Sardine;True
Sprattus sprattus;Sprattus sprattus;126425;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;Sprattus;Sprattus sprattus;Bay_of_Biscay_335.scor;Sprat;True
Stenella coeruleoalba;Stenella coeruleoalba;137107;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Stenella;Stenella coeruleoalba;Bay_of_Biscay_335.scor;Striped dolphins;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Sub-surface deposit feeders invertebrates;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Suprabenthic invertebrates;True
125564;Sparidae;125564;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;Bay_of_Biscay_335.scor;Suprabenthivorous demersal fish;True
Aves;Aves;1836;Class;accepted;Animalia;Chordata;Aves;;;;;Bay_of_Biscay_335.scor;Surface feeders seabirds;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;Bay_of_Biscay_335.scor;Surface suspension and deposit feeders inv;True
Atheresthes stomias;Atheresthes stomias;279792;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes stomias;British_Columbia_Coast_478.scor;arrowtooth ad.;True
Atheresthes stomias;Atheresthes stomias;279792;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes stomias;British_Columbia_Coast_478.scor;arrowtooth juv.;True
Aves;Aves;1836;Class;accepted;Animalia;Chordata;Aves;;;;;British_Columbia_Coast_478.scor;birds demer pisciv;True
Aves;Aves;1836;Class;accepted;Animalia;Chordata;Aves;;;;;British_Columbia_Coast_478.scor;birds pelag pisciv;True
Aves;Aves;1836;Class;accepted;Animalia;Chordata;Aves;;;;;British_Columbia_Coast_478.scor;birds zooplanktiv;True
105;Bivalvia;105;Class;accepted;Animalia;Mollusca;Bivalvia;;;;;British_Columbia_Coast_478.scor;bivalves;True
2;Animalia;2;Kingdom;accepted;Animalia;;;;;;;British_Columbia_Coast_478.scor;carn. zooplankton;True
Oncorhynchus tshawytscha;Oncorhynchus tshawytscha;158075;Species;accepted;Animalia;Chordata;Teleostei;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus tshawytscha;British_Columbia_Coast_478.scor;chinook;True
Oncorhynchus keta;Oncorhynchus keta;127183;Species;accepted;Animalia;Chordata;Teleostei;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta;British_Columbia_Coast_478.scor;chum;True
Oncorhynchus kisutch;Oncorhynchus kisutch;127184;Species;accepted;Animalia;Chordata;Teleostei;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus kisutch;British_Columbia_Coast_478.scor;coho;True
1130;Decapoda;1130;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;;;;British_Columbia_Coast_478.scor;crabs;True
Squalus acanthias;Squalus acanthias;105923;Species;accepted;Animalia;Chordata;Elasmobranchii;Squaliformes;Squalidae;Squalus;Squalus acanthias;British_Columbia_Coast_478.scor;dogfish;True
