;file_name;node;kingdom_best_chatgpt;kingdom_best_chatgpt_score;phylum_best_chatgpt;phylum_best_chatgpt_score;class_best_chatgpt;class_best_chatgpt_score;order_best_chatgpt;order_best_chatgpt_score;family_best_chatgpt;family_best_chatgpt_score;genus_best_chatgpt;genus_best_chatgpt_score;species_best_chatgpt;species_best_chatgpt_score
34;Aegean_Sea_760;Seabirds;Animalia;1.0;Chordata;1.0;Aves;1.0;Procellariiformes;0.5;Procellariidae;0.5;Calonectris;0.5;Calonectris diomedea;0.5
35;Aegean_Sea_760;Sharks;Animalia;1.0;Chordata;1.0;Chondrichthyes;0.75;Carcharhiniformes;0.75;Pentanchidae;0.35;Galeus;0.5;Prionace glauca;0.25
36;Aegean_Sea_760;Shelf crabs;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Portunidae;0.5;Liocarcinus;0.25;Liocarcinus depurator;0.25
37;Aegean_Sea_760;Shrimps;Animalia;0.9875;Arthropoda;0.9850000000000001;Malacostraca;0.9850000000000001;Decapoda;0.9850000000000001;Palaemonidae;0.2375;Aristeus;0.2425;Aristeus antennatus;0.24
38;Aegean_Sea_760;Slope crabs;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Geryonidae;0.5;Chaceon;0.5;Chaceon mediterraneus;0.475
39;Aegean_Sea_760;Small demersals 1;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gobiiformes;0.25;Gobiidae;0.5;Gobius;0.25;Gobius niger;0.25
40;Aegean_Sea_760;Small demersals 2;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gobiiformes;0.4825;Gobiidae;0.4875;Mullus;0.25;Mullus barbatus;0.25
41;Aegean_Sea_760;Small demersals 3;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gobiiformes;0.245;Atherinidae;0.25;Gobius;0.25;Gobius niger;0.25
42;Aegean_Sea_760;Squids;Animalia;1.0;Mollusca;1.0;Cephalopoda;0.9975;Teuthida;0.7124999999999999;Loliginidae;0.49;Loligo;0.49;Loligo vulgaris;0.475
43;Aleutian_Islands_252;Adult pollock;Animalia;1.0;Chordata;1.0;Actinopterygii;0.98;Gadiformes;0.98;Gadidae;0.98;Gadus;0.97;Gadus chalcogrammus;0.7124999999999999
44;Aleutian_Islands_252;Arrowtooth;Animalia;1.0;Chordata;1.0;Actinopterygii;0.99;Pleuronectiformes;0.98;Pleuronectidae;0.99;Atheresthes;0.97;Atheresthes stomias;0.7375
45;Aleutian_Islands_252;Atka mackerel;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.45;Hexagrammidae;0.75;Pleurogrammus;0.75;Pleurogrammus monopterygius;0.75
46;Aleutian_Islands_252;Baleen whales;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.95;Multiple (Balaenopteridae, Balaenidae, Eschrichtiidae, Neobalaenidae);0.2375;Balaenoptera;0.225;Multiple;0.05
47;Aleutian_Islands_252;Benthic inverts;Animalia;1.0;Mollusca, Echinodermata, Annelida, Cnidaria;0.225;;;;;;;;;;
48;Aleutian_Islands_252;Birds;Animalia;1.0;Chordata;1.0;Aves;1.0;Charadriiformes, Pelecaniformes, Accipitriformes;0.225;Alcidae, Phalacrocoracidae, Accipitridae;0.225;Multiple;0.05;Multiple;0.05
49;Aleutian_Islands_252;Cephalopods;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Oegopsida;0.2375;Gonatidae;0.25;Berryteuthis;0.245;Berryteuthis magister;0.25
50;Aleutian_Islands_252;Deep L;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.7;Liparidae;0.45;Sebastes;0.2375;Sebastes alutus;0.225
51;Aleutian_Islands_252;Dem S M;Animalia;1.0;Chordata;1.0;Actinopterygii;0.9825;Gadiformes;0.245;Gadidae;0.2425;Sebastes;0.2375;;
52;Aleutian_Islands_252;Detritus;;;;;;;;;;;;;;
53;Aleutian_Islands_252;Epiben carnivores;Animalia;1.0;Chordata;0.25;Actinopterygii;0.2375;Decapoda;0.2375;;;Sebastes;0.225;Sebastes alutus;0.2125
54;Aleutian_Islands_252;Flatfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Pleuronectiformes;1.0;Pleuronectidae;0.5;Limanda;0.2375;Limanda aspera;0.2375
55;Aleutian_Islands_252;Halibut;Animalia;0.9975;Chordata;1.0;Actinopterygii;1.0;Pleuronectiformes;1.0;Pleuronectidae;0.7424999999999999;Hippoglossus;0.9975;Hippoglossus stenolepis;0.725
56;Aleutian_Islands_252;Herring;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;1.0;Clupea;1.0;Clupea pallasii;0.5
57;Aleutian_Islands_252;Juvenile pollock;Animalia;0.99;Chordata;0.99;Actinopterygii;0.98;Gadiformes;0.98;Gadidae;0.9675;Gadus;0.9550000000000001;Gadus chalcogrammus;0.7324999999999999
58;Aleutian_Islands_252;Large pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;0.75;Lamniformes;0.25;Lamnidae;0.25;Lamna;0.25;Lamna ditropis;0.25
59;Aleutian_Islands_252;Large pred demersals;Animalia;0.995;Chordata;0.995;Actinopterygii;0.9850000000000001;Gadiformes;0.74;Gadidae;0.7375;Gadus;0.495;Gadus macrocephalus;0.2425
60;Aleutian_Islands_252;Large zooplankton;Animalia;1.0;Arthropoda;1.0;Copepoda;0.745;Calanoida;0.75;Euphausiidae;0.25;Euphausia;0.25;Euphausia pacifica;0.25
61;Aleutian_Islands_252;Macrophytes;Chromista;0.7124999999999999;Ochrophyta;0.98;Phaeophyceae;0.98;Laminariales;0.98;Laminariaceae;0.7100000000000001;Nereocystis;0.4425;Nereocystis luetkeana;0.4675
62;Aleutian_Islands_252;Myctophids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Myctophiformes;1.0;Myctophidae;1.0;Stenobrachius;0.25;Stenobrachius leucopsarus;0.25
63;Aleutian_Islands_252;POP;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.95;Scorpaenidae;0.475;Sebastes;1.0;Sebastes alutus;0.5
64;Aleutian_Islands_252;Pacific cod;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Gadidae;1.0;Gadus;1.0;Gadus macrocephalus;0.75
65;Aleutian_Islands_252;Phytoplankton;Chromista;0.675;Bacillariophyta;1.0;Coscinodiscophyceae;0.475;Thalassiosirales;1.0;Thalassiosiraceae;1.0;Thalassiosira;0.75;Thalassiosira nordenskioeldii;0.4825
66;Aleutian_Islands_252;Rockfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.95;Sebastidae;0.45;Sebastes;1.0;Sebastes aleutianus;0.25
67;Aleutian_Islands_252;SSL Adults;Animalia;1.0;Chordata;1.0;Mammalia;0.99;Carnivora;0.99;Otariidae;0.99;Eumetopias;0.99;Eumetopias jubatus;0.735
68;Aleutian_Islands_252;SSL embryo;Animalia;0.9850000000000001;Chordata;0.9850000000000001;Mammalia;0.9850000000000001;Carnivora;0.9850000000000001;Otariidae;0.9850000000000001;Eumetopias;0.7375;Eumetopias jubatus;0.495
69;Aleutian_Islands_252;SSL juveniles;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Otariidae;0.9962500000000001;Eumetopias;0.9962500000000001;Eumetopias jubatus;0.75
70;Aleutian_Islands_252;SSL pups;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;0.99;Otariidae;1.0;Eumetopias;0.75;Eumetopias jubatus;0.4975
71;Aleutian_Islands_252;Sablefish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.7124999999999999;Anoplopomatidae;1.0;Anoplopoma;1.0;Anoplopoma fimbria;0.75
72;Aleutian_Islands_252;Salmon;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Salmoniformes;0.9374999999999999;Salmonidae;1.0;Oncorhynchus;1.0;Oncorhynchus keta;0.5
73;Aleutian_Islands_252;Sandlance;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.675;Ammodytidae;1.0;Ammodytes;1.0;Ammodytes hexapterus;0.5
74;Aleutian_Islands_252;Sea otters;Animalia;0.99;Chordata;0.99;Mammalia;0.99;Carnivora;0.99;Mustelidae;0.99;Enhydra;0.99;Enhydra lutris;0.74
75;Aleutian_Islands_252;Shark and skates;Animalia;1.0;Chordata;1.0;Chondrichthyes;1.0;Squaliformes;0.25;Squalidae;0.25;Squalus;0.25;Squalus acanthias;0.25
76;Aleutian_Islands_252;Shark mammal eater;Animalia;1.0;Chordata;1.0;Chondrichthyes;1.0;Lamniformes;0.75;Lamnidae;0.75;Carcharodon;0.5;Carcharodon carcharias;0.49
77;Aleutian_Islands_252;Shrimps;Animalia;0.9724999999999999;Arthropoda;0.9724999999999999;Malacostraca;0.97;Decapoda;0.97;Pandalidae;0.2375;Pandalus;0.2375;Pandalus borealis;0.225
78;Aleutian_Islands_252;Small mammals;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora, Rodentia;0.225;Mustelidae, Cricetidae;0.225;Mustela, Microtus;0.225;Multiple;0.1
79;Aleutian_Islands_252;Small pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;0.75;Clupea;0.75;Clupea pallasii;0.75
80;Aleutian_Islands_252;Small zooplankton;Animalia;1.0;Arthropoda;1.0;Copepoda;0.9824999999999999;Cyclopoida;0.715;Calanidae;0.2425;Calanus;0.24;similis;0.2425
81;Aleutian_Islands_252;Toothed whales;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.95;Multiple (Physeteridae, Kogiidae, Ziphiidae);0.2375;Multiple;0.0625;Multiple;0.05
82;Aleutian_Islands_252;Transient orca;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.95;Delphinidae;0.9975;Orcinus;1.0;Orcinus orca;0.75
83;Australia_North_West_Shelf_405;AdCarangids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;1.0;Carangidae;1.0;Caranx;0.2375;;
84;Australia_North_West_Shelf_405;BenPhytoplankton;Chromista;0.45;Bacillariophyta;0.5;Bacillariophyceae;0.475;Naviculales;0.475;Naviculaceae;0.45;Navicula;0.475;Navicula sp.;0.225
85;Australia_North_West_Shelf_405;Coastal sharks;Animalia;1.0;Chordata;1.0;Chondrichthyes;0.9924999999999999;Carcharhiniformes;0.9924999999999999;Carcharhinidae;0.7;Carcharhinus;0.2375;;
86;Australia_North_West_Shelf_405;ComPrawns;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Penaeidae;1.0;Penaeus;0.675;Penaeus merguiensis;0.25
87;Australia_North_West_Shelf_405;Detritus;;;;;;;;;;;;;Detritus;0.0
88;Australia_North_West_Shelf_405;DpLgFish;Animalia;1.0;Chordata;1.0;Actinopterygii;0.7124999999999999;Perciformes;0.375;Carcharhinidae;0.25;Carcharhinus;0.25;Carcharhinus leucas;0.25
89;Australia_North_West_Shelf_405;DpLizard;Animalia;1.0;Chordata;1.0;Actinopterygii;0.9924999999999999;Aulopiformes;0.7424999999999999;Synodontidae;0.7375;Saurida;0.2375;Saurida undosquamis;0.2375
90;Australia_North_West_Shelf_405;DpMedFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.4625;Lutjanidae;0.25;Pristipomoides;0.25;Pristipomoides filamentosus;0.25
91;Australia_North_West_Shelf_405;DpMullidae;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.9;Mullidae;1.0;;;;
92;Australia_North_West_Shelf_405;DpNemipterids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.935;Nemipteridae;0.9549999999999998;Nemipterus;0.485;;
93;Australia_North_West_Shelf_405;DpPonyfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.9;Leiognathidae;1.0;;;;
94;Australia_North_West_Shelf_405;DpSmFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Myctophiformes;0.2375;Myctophidae;0.2375;Saurida;0.225;elongata;0.2125
95;Australia_North_West_Shelf_405;FryPBream;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.6375;Sparidae;1.0;Acanthopagrus;0.49;;
96;Australia_North_West_Shelf_405;JuvCarangids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;0.95;Carangidae;1.0;Caranx;0.2;;
97;Australia_North_West_Shelf_405;LgZooplankton;Animalia;1.0;Arthropoda;1.0;Malacostraca;0.25;Euphausiacea;0.25;Euphausiidae;0.25;Nyctiphanes;0.25;Nyctiphanes australis;0.25
98;Australia_North_West_Shelf_405;Macrofauna;Animalia;1.0;Annelida;0.5;Polychaeta;0.5;Canalipalpata;0.1;Arenicolidae;0.225;Arenicola;0.225;Arenicola marina;0.1
99;Australia_North_West_Shelf_405;Megabenthos;Animalia;1.0;Echinodermata;0.5;Holothuroidea;0.5;Holothuriida;0.225;Holothuriidae;0.5;Holothuria;0.5;Holothuria atra;0.25
100;Australia_North_West_Shelf_405;Microphytobenthos;Chromista;0.675;Bacillariophyta;0.75;Bacillariophyceae;0.5;Naviculales;0.2375;Naviculaceae, Chlorellaceae, Oscillatoriaceae;0.2125;Navicula;0.25;Navicula sp.;0.225
101;Australia_North_West_Shelf_405;PelPhytoplankton;Chromista;0.675;Bacillariophyta;0.75;Bacillariophyceae;0.49;Thalassiosirales;0.475;Thalassiosiraceae;0.475;Thalassiosira;0.475;Thalassiosira weissflogii;0.23
102;Australia_North_West_Shelf_405;Rays;Animalia;1.0;Chordata;1.0;Chondrichthyes;1.0;Myliobatiformes;0.7124999999999999;Dasyatidae;0.225;;;;
103;Australia_North_West_Shelf_405;RedEmperor;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.675;Lutjanidae;1.0;Lutjanus;1.0;Lutjanus sebae;0.75
104;Australia_North_West_Shelf_405;SessEpibenthos;Animalia;1.0;Arthropoda;0.25;Thecostraca;0.2375;Sessilia;0.2375;Balanidae;0.2375;Balanus;0.2;Balanus amphitrite;0.2125
105;Australia_North_West_Shelf_405;ShLethrinids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.30000000000000004;Lethrinidae;1.0;Lethrinus;0.75;;
106;Australia_North_West_Shelf_405;ShLgFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.225;Lutjanidae;0.4875;Lutjanus;0.25;Lutjanus bohar;0.25
107;Australia_North_West_Shelf_405;ShLizard;Animalia;0.99;Chordata;0.99;Actinopterygii;0.98;Aulopiformes;0.7124999999999999;Synodontidae;0.7075;Synodus;0.2325;Synodus variegatus;0.2125
108;Australia_North_West_Shelf_405;ShLutjanids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.85;Lutjanidae;1.0;Lutjanus;0.5;;
109;Australia_North_West_Shelf_405;ShMedFish;Animalia;0.9875;Chordata;0.9875;Actinopterygii;0.9875;Carangiformes;0.2375;Lutjanidae;0.4875;Lutjanus;0.25;Lutjanus sebae;0.25
110;Australia_North_West_Shelf_405;ShMullidae;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.95;Mullidae;1.0;;;;
111;Australia_North_West_Shelf_405;ShNemipterirds;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.9;Nemipteridae;1.0;Nemipterus;0.5;;
112;Australia_North_West_Shelf_405;ShSerranids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.9;Serranidae;1.0;Epinephelus;0.25;;
113;Australia_North_West_Shelf_405;ShSmFish;Animalia;0.975;Chordata;0.975;Actinopterygii;0.9575;Atheriniformes;0.2425;Atherinidae;0.2375;Atherinomorus;0.2375;Atherinomorus vaigiensis;0.2425
114;Australia_North_West_Shelf_405;ShSweetlip;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.95;Haemulidae;1.0;Plectorhinchus;0.25;Plectorhinchus lineatus;0.2375
115;Australia_North_West_Shelf_405;ShTriggerFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Tetraodontiformes;1.0;Balistidae;1.0;Rhinecanthus;0.25;Rhinecanthus aculeatus;0.225
116;Australia_North_West_Shelf_405;SmTunas;Animalia;0.98;Chordata;0.98;Actinopterygii;0.97;Scombriformes;0.95;Scombridae;0.99;Euthynnus;0.2475;Euthynnus affinis;0.25
117;Australia_North_West_Shelf_405;SmZooplankton;Animalia;0.75;Arthropoda;0.75;Copepoda;0.475;Calanoida;0.25;Acartiidae;0.2375;Acartia;0.25;Acartia tonsa;0.225
118;Australia_North_West_Shelf_405;SmallPelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;0.75;Sardinops;0.225;Sardinops sagax;0.175
119;Australia_North_West_Shelf_405;Squid;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Teuthida;0.95;Loliginidae;0.245;Sepioteuthis;0.25;Sepioteuthis lessoniana;0.25
120;Bamboung_180;Barracudas +;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Sphyraeniformes;0.45;Sphyraenidae;0.875;Sphyraena;0.95;Sphyraena barracuda;0.25
121;Bamboung_180;Breton africain;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.7124999999999999;Sciaenidae;0.25;Pseudotolithus;0.25;Pseudotolithus senegalensis;0.25
122;Bamboung_180;Carangues;Animalia;0.98;Chordata;0.98;Actinopterygii;0.98;Carangiformes;0.98;Carangidae;0.98;Caranx;0.98;Caranx hippos;0.25
123;Bamboung_180;Crabes;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Portunidae;0.2375;;;;
124;Bamboung_180;Crevettes;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Penaeidae;0.7124999999999999;Penaeus;0.4625;Penaeus kerathurus;0.225
125;Bamboung_180;Dauphins;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.7124999999999999;Delphinidae;1.0;Tursiops;1.0;Tursiops truncatus;0.75
126;Bamboung_180;Detritus;;;;;;;;;;;;;;
127;Bamboung_180;Diagramme +;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.9;Haemulidae;0.7124999999999999;Plectorhinchus;0.45;spp.;0.1
128;Bamboung_180;Elops;Animalia;1.0;Chordata;1.0;Actinopterygii;0.98;Elopiformes;0.95;Elopidae;0.95;Elops;0.98;Elops senegalensis;0.475
129;Bamboung_180;Ethmalose;Animalia;1.0;Chordata;1.0;Actinopterygii;0.9924999999999999;Clupeiformes;1.0;Clupeidae;1.0;Ethmalosa;0.9975;Ethmalosa fimbriata;0.7275
130;Bamboung_180;Gerres;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.6000000000000001;Gerreidae;1.0;Gerres;1.0;Gerres spp.;0.2375
131;Bamboung_180;Grand capitaine;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;0.2875;Polynemidae;0.4625;Polydactylus;0.4875;quadrifilis;0.4875
132;Bamboung_180;Macrobenthos;Animalia;1.0;Mollusca;0.25;Bivalvia;0.25;Arcida;0.25;Arcidae;0.25;Anadara;0.25;Anadara senilis;0.25
133;Bamboung_180;Meiobenthos;Animalia;0.5;Nematoda;0.5;Chromadorea;0.225;Rhabditida;0.05;Rhabditidae;0.1;Terschellingia;0.25;Terschellingia longicaudata;0.175
134;Bamboung_180;Microphytobenth;Chromista;0.45;Bacillariophyta;0.2375;Bacillariophyceae;0.4625;Naviculales;0.4575;Naviculaceae;0.4375;Navicula;0.4625;Navicula perminuta;0.2375
135;Bamboung_180;Mulets;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Mugiliformes;0.75;Mugilidae;1.0;Mugil;1.0;Mugil cephalus;0.5
136;Bamboung_180;Mâchoirons mari;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Mugiliformes;0.25;Mugilidae;0.25;Mugil;0.25;Mugil cephalus;0.25
137;Bamboung_180;Oiseaux;Animalia;1.0;Chordata;1.0;Aves;1.0;Charadriiformes;0.25;Ardeidae;0.25;Sterna;0.25;Sterna hirundo;0.25
138;Bamboung_180;Otolithes +;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.4625;Sciaenidae;0.725;Sardinella;0.25;Sardinella aurita;0.25
