;file_name;node;kingdom_best_gemini;kingdom_best_gemini_score;phylum_best_gemini;phylum_best_gemini_score;class_best_gemini;class_best_gemini_score;order_best_gemini;order_best_gemini_score;family_best_gemini;family_best_gemini_score;genus_best_gemini;genus_best_gemini_score;species_best_gemini;species_best_gemini_score
27;Aegean_Sea_760;Piscivorous deep sea fish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Stomiiformes;0.25;Stomiidae;0.25;Stomias;0.25;Micromesistius poutassou;0.05
28;Aegean_Sea_760;Planktivorous deep sea fish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Stomiiformes;0.75;Gonostomatidae;0.5;Cyclothone;0.5;Maurolicus muelleri;0.25
29;Aegean_Sea_760;Polychaetes;Animalia;1.0;Annelida;1.0;Polychaeta;1.0;Phyllodocida;0.25;Nereididae;0.25;Nereis;0.25;Nereis diversicolor;0.25
30;Aegean_Sea_760;Rays and skates;Animalia;1.0;Chordata;1.0;Chondrichthyes;0.75;Rajiformes;0.75;Rajidae;0.75;Raja;0.75;Raja clavata;0.5
31;Aegean_Sea_760;Red mullets;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Mullidae;1.0;Mullus;0.5;Mullus barbatus;0.5
32;Aegean_Sea_760;Rockfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;1.0;Scorpaenidae;1.0;Scorpaena;0.5;Scorpaena scrofa;0.25
33;Aegean_Sea_760;Sea turtles;Animalia;1.0;Chordata;1.0;Reptilia;1.0;Testudines;1.0;Cheloniidae;0.75;Caretta;0.75;Caretta caretta;0.5
34;Aegean_Sea_760;Seabirds;Animalia;1.0;Chordata;1.0;Aves;1.0;Procellariiformes;0.5;Procellariidae;0.5;Calonectris;0.5;Calonectris diomedea;0.5
35;Aegean_Sea_760;Sharks;Animalia;1.0;Chordata;1.0;Chondrichthyes;0.75;Carcharhiniformes;0.75;Carcharhinidae;0.25;Prionace;0.25;Prionace glauca;0.25
36;Aegean_Sea_760;Shelf crabs;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Portunidae;0.5;Liocarcinus;0.25;Liocarcinus depurator;0.25
37;Aegean_Sea_760;Shrimps;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Aristeidae;0.25;Aristeus;0.25;Aristeus antennatus;0.25
38;Aegean_Sea_760;Slope crabs;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Geryonidae;0.5;Chaceon;0.5;Chaceon mediterraneus;0.5
39;Aegean_Sea_760;Small demersals 1;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gobiiformes;0.25;Gobiidae;0.5;Gobius;0.25;Gobius niger;0.25
40;Aegean_Sea_760;Small demersals 2;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gobiiformes;0.5;Gobiidae;0.5;Mullus;0.25;Mullus barbatus;0.25
41;Aegean_Sea_760;Small demersals 3;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gobiiformes;0.25;Gobiidae;0.25;Gobius;0.25;Gobius niger;0.25
42;Aegean_Sea_760;Squids;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Teuthida;0.375;Loliginidae;0.5;Loligo;0.5;Loligo vulgaris;0.5
43;Aleutian_Islands_252;Adult pollock;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Gadidae;1.0;Gadus;1.0;Gadus chalcogrammus;0.75
44;Aleutian_Islands_252;Arrowtooth;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Pleuronectiformes;1.0;Pleuronectidae;1.0;Atheresthes;1.0;Atheresthes stomias;0.75
45;Aleutian_Islands_252;Atka mackerel;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.25;Hexagrammidae;0.75;Pleurogrammus;0.75;Pleurogrammus monopterygius;0.75
46;Aleutian_Islands_252;Baleen whales;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;1.0;Multiple (Balaenopteridae, Balaenidae, Eschrichtiidae, Neobalaenidae);0.25;Multiple;0.25;Multiple;0.25
47;Aleutian_Islands_252;Benthic inverts;Animalia;1.0;Mollusca, Echinodermata, Annelida, Cnidaria;0.25;;;;;;;;;;
48;Aleutian_Islands_252;Birds;Animalia;1.0;Chordata;1.0;Aves;1.0;Charadriiformes, Pelecaniformes, Accipitriformes;0.225;Alcidae, Phalacrocoracidae, Accipitridae;0.225;Multiple;0.125;Multiple;0.125
49;Aleutian_Islands_252;Cephalopods;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Oegopsida;0.25;Gonatidae;0.25;Berryteuthis;0.25;Berryteuthis magister;0.25
50;Aleutian_Islands_252;Deep L;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.75;Liparidae;0.5;Sebastes;0.25;Sebastes alutus;0.25
51;Aleutian_Islands_252;Dem S M;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.25;Gadidae;0.25;Sebastes;0.25;;
52;Aleutian_Islands_252;Detritus;;;;;;;;;;;;;;
53;Aleutian_Islands_252;Epiben carnivores;Animalia;1.0;Chordata;0.25;Actinopterygii;0.25;Decapoda;0.25;;;Sebastes;0.25;Sebastes alutus;0.25
54;Aleutian_Islands_252;Flatfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Pleuronectiformes;1.0;Pleuronectidae;0.5;Limanda;0.25;Limanda aspera;0.25
55;Aleutian_Islands_252;Halibut;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Pleuronectiformes;1.0;Pleuronectidae;0.75;Hippoglossus;1.0;Hippoglossus stenolepis;0.75
56;Aleutian_Islands_252;Herring;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;1.0;Clupea;1.0;Clupea pallasii;0.5
57;Aleutian_Islands_252;Juvenile pollock;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Gadidae;1.0;Gadus;1.0;Gadus chalcogrammus;0.75
58;Aleutian_Islands_252;Large pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;0.75;Lamniformes;0.25;Lamnidae;0.25;Lamna;0.25;Lamna ditropis;0.25
59;Aleutian_Islands_252;Large pred demersals;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;0.75;Gadidae;0.75;Gadus;0.5;Gadus macrocephalus;0.25
60;Aleutian_Islands_252;Large zooplankton;Animalia;1.0;Arthropoda;1.0;Copepoda;0.5;Calanoida;0.75;Euphausiidae;0.25;Euphausia;0.25;Euphausia pacifica;0.25
61;Aleutian_Islands_252;Macrophytes;Chromista;0.75;Ochrophyta;1.0;Phaeophyceae;1.0;Laminariales;1.0;Laminariaceae;0.75;Nereocystis;0.5;Nereocystis luetkeana;0.5
62;Aleutian_Islands_252;Myctophids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Myctophiformes;1.0;Myctophidae;1.0;Stenobrachius;0.25;Stenobrachius leucopsarus;0.25
63;Aleutian_Islands_252;POP;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;1.0;Sebastidae;0.5;Sebastes;1.0;Sebastes alutus;0.5
64;Aleutian_Islands_252;Pacific cod;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gadiformes;1.0;Gadidae;1.0;Gadus;1.0;Gadus macrocephalus;0.75
65;Aleutian_Islands_252;Phytoplankton;Chromista;0.75;Bacillariophyta;1.0;Bacillariophyceae;0.5;Thalassiosirales;1.0;Thalassiosiraceae;1.0;Thalassiosira;0.75;Thalassiosira nordenskioeldii;0.5
66;Aleutian_Islands_252;Rockfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;1.0;Sebastidae;0.5;Sebastes;1.0;Sebastes spp.;0.25
67;Aleutian_Islands_252;SSL Adults;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Otariidae;1.0;Eumetopias;1.0;Eumetopias jubatus;0.75
68;Aleutian_Islands_252;SSL embryo;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Otariidae;1.0;Eumetopias;0.75;Eumetopias jubatus;0.5
69;Aleutian_Islands_252;SSL juveniles;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Otariidae;1.0;Eumetopias;1.0;Eumetopias jubatus;0.75
70;Aleutian_Islands_252;SSL pups;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Otariidae;1.0;Eumetopias;0.75;Eumetopias jubatus;0.5
71;Aleutian_Islands_252;Sablefish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scorpaeniformes;0.75;Anoplopomatidae;1.0;Anoplopoma;1.0;Anoplopoma fimbria;0.75
72;Aleutian_Islands_252;Salmon;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Salmoniformes;1.0;Salmonidae;1.0;Oncorhynchus;1.0;Oncorhynchus keta;0.5
73;Aleutian_Islands_252;Sandlance;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.75;Ammodytidae;1.0;Ammodytes;1.0;Ammodytes hexapterus;0.5
74;Aleutian_Islands_252;Sea otters;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora;1.0;Mustelidae;1.0;Enhydra;1.0;Enhydra lutris;0.6000000000000001
75;Aleutian_Islands_252;Shark and skates;Animalia;1.0;Chordata;1.0;Chondrichthyes;1.0;Squaliformes;0.2;Rajidae;0.2;Bathyraja;0.2;Bathyraja aleutica;0.2
76;Aleutian_Islands_252;Shark mammal eater;Animalia;1.0;Chordata;1.0;Chondrichthyes;1.0;Lamniformes;0.75;Lamnidae;0.75;Carcharodon;0.5;Carcharodon carcharias;0.5
77;Aleutian_Islands_252;Shrimps;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Pandalidae;0.25;Pandalus;0.25;Pandalus borealis;0.25
78;Aleutian_Islands_252;Small mammals;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Carnivora, Rodentia;0.25;Mustelidae, Cricetidae;0.25;Mustela, Microtus;0.25;Multiple;0.175
79;Aleutian_Islands_252;Small pelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;0.75;Clupea;0.75;Clupea pallasii;0.75
80;Aleutian_Islands_252;Small zooplankton;Animalia;1.0;Arthropoda;1.0;Copepoda;1.0;Cyclopoida;0.75;Calanidae;0.25;Calanus;0.25;similis;0.25
81;Aleutian_Islands_252;Toothed whales;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;1.0;Multiple (Physeteridae, Kogiidae, Ziphiidae);0.25;Multiple;0.25;Multiple;0.25
82;Aleutian_Islands_252;Transient orca;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;1.0;Delphinidae;1.0;Orcinus;1.0;Orcinus orca;0.75
83;Australia_North_West_Shelf_405;AdCarangids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;1.0;Carangidae;1.0;Caranx;0.25;;
84;Australia_North_West_Shelf_405;BenPhytoplankton;Chromista;0.5;Bacillariophyta;0.5;Bacillariophyceae;0.5;Naviculales;0.5;Naviculaceae;0.5;Navicula;0.5;Navicula sp.;0.25
85;Australia_North_West_Shelf_405;Coastal sharks;Animalia;1.0;Chordata;1.0;Chondrichthyes;1.0;Carcharhiniformes;1.0;Carcharhinidae;0.75;Carcharhinus;0.25;;
86;Australia_North_West_Shelf_405;ComPrawns;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Penaeidae;1.0;Penaeus;0.75;Penaeus merguiensis;0.25
87;Australia_North_West_Shelf_405;Detritus;;;;;;;;;;;;;Detritus;0.0
88;Australia_North_West_Shelf_405;DpLgFish;Animalia;1.0;Chordata;1.0;Actinopterygii;0.75;Perciformes;0.5;Carcharhinidae;0.25;Carcharhinus;0.25;Carcharhinus leucas;0.25
89;Australia_North_West_Shelf_405;DpLizard;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Aulopiformes;0.75;Synodontidae;0.75;Saurida;0.25;Saurida undosquamis;0.25
90;Australia_North_West_Shelf_405;DpMedFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.5;Lutjanidae;0.25;Pristipomoides;0.25;Pristipomoides filamentosus;0.25
91;Australia_North_West_Shelf_405;DpMullidae;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Mullidae;1.0;;;;
92;Australia_North_West_Shelf_405;DpNemipterids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Nemipteridae;1.0;Nemipterus;0.5;;
93;Australia_North_West_Shelf_405;DpPonyfish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Leiognathidae;1.0;;;;
94;Australia_North_West_Shelf_405;DpSmFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Myctophiformes;0.25;Myctophidae;0.25;Saurida;0.25;elongata;0.25
95;Australia_North_West_Shelf_405;FryPBream;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.75;Sparidae;1.0;Acanthopagrus;0.5;;
96;Australia_North_West_Shelf_405;JuvCarangids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;1.0;Carangidae;1.0;Caranx;0.2;;
97;Australia_North_West_Shelf_405;LgZooplankton;Animalia;1.0;Arthropoda;1.0;Malacostraca;0.25;Euphausiacea;0.25;Euphausiidae;0.25;Nyctiphanes;0.25;Nyctiphanes australis;0.25
98;Australia_North_West_Shelf_405;Macrofauna;Animalia;1.0;Annelida;0.5;Polychaeta;0.5;Canalipalpata;0.25;Arenicolidae;0.25;Arenicola;0.25;Arenicola marina;0.125
99;Australia_North_West_Shelf_405;Megabenthos;Animalia;1.0;Echinodermata;0.5;Holothuroidea;0.5;Aspidochirotida;0.25;Holothuriidae;0.5;Holothuria;0.5;Holothuria atra;0.25
100;Australia_North_West_Shelf_405;Microphytobenthos;Chromista;0.75;Bacillariophyta;0.75;Bacillariophyceae;0.5;Naviculales;0.25;Naviculaceae, Chlorellaceae, Oscillatoriaceae;0.2;Navicula;0.25;Navicula sp.;0.2
101;Australia_North_West_Shelf_405;PelPhytoplankton;Chromista;0.75;Bacillariophyta;0.75;Bacillariophyceae;0.5;Thalassiosirales;0.5;Thalassiosiraceae;0.5;Thalassiosira;0.5;Thalassiosira pseudonana;0.25
102;Australia_North_West_Shelf_405;Rays;Animalia;1.0;Chordata;1.0;Chondrichthyes;1.0;Myliobatiformes;0.75;Dasyatidae;0.25;;;;
103;Australia_North_West_Shelf_405;RedEmperor;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.75;Lutjanidae;1.0;Lutjanus;1.0;Lutjanus sebae;0.75
104;Australia_North_West_Shelf_405;SessEpibenthos;Animalia;1.0;Cnidaria;0.25;Anthozoa;0.25;Scleractinia;0.25;Balanidae;0.25;Balanus;0.25;Balanus amphitrite;0.25
105;Australia_North_West_Shelf_405;ShLethrinids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.75;Lethrinidae;1.0;Lethrinus;0.75;;
106;Australia_North_West_Shelf_405;ShLgFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.25;Lutjanidae;0.5;Lutjanus;0.25;Lutjanus bohar;0.25
107;Australia_North_West_Shelf_405;ShLizard;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Aulopiformes;0.75;Synodontidae;0.75;Synodus;0.25;Synodus variegatus;0.2
108;Australia_North_West_Shelf_405;ShLutjanids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Lutjanidae;1.0;Lutjanus;0.5;;
109;Australia_North_West_Shelf_405;ShMedFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.25;Lutjanidae;0.5;Lutjanus;0.25;Lutjanus sebae;0.25
110;Australia_North_West_Shelf_405;ShMullidae;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Mullidae;1.0;;;;
111;Australia_North_West_Shelf_405;ShNemipterirds;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Nemipteridae;1.0;Nemipterus;0.5;;
112;Australia_North_West_Shelf_405;ShSerranids;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Serranidae;1.0;Epinephelus;0.25;;
113;Australia_North_West_Shelf_405;ShSmFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Atheriniformes;0.25;Atherinidae;0.25;Atherinomorus;0.25;Atherinomorus vaigiensis;0.25
114;Australia_North_West_Shelf_405;ShSweetlip;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Haemulidae;1.0;Plectorhinchus;0.25;Plectorhinchus lineatus;0.25
115;Australia_North_West_Shelf_405;ShTriggerFish;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Tetraodontiformes;1.0;Balistidae;1.0;Rhinecanthus;0.25;Rhinecanthus aculeatus;0.25
116;Australia_North_West_Shelf_405;SmTunas;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Scombriformes;1.0;Scombridae;1.0;Euthynnus;0.25;Euthynnus affinis;0.25
117;Australia_North_West_Shelf_405;SmZooplankton;Animalia;0.75;Arthropoda;0.75;Copepoda;0.5;Calanoida;0.25;Acartiidae;0.25;Acartia;0.25;Acartia tonsa;0.25
118;Australia_North_West_Shelf_405;SmallPelagics;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;0.75;Sardinops;0.25;Sardinops sagax;0.25
119;Australia_North_West_Shelf_405;Squid;Animalia;1.0;Mollusca;1.0;Cephalopoda;1.0;Teuthida;1.0;Loliginidae;0.25;Sepioteuthis;0.25;Sepioteuthis lessoniana;0.25
120;Bamboung_180;Barracudas +;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Sphyraeniformes;0.5;Sphyraenidae;1.0;Sphyraena;1.0;Sphyraena barracuda;0.25
121;Bamboung_180;Breton africain;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.75;Sciaenidae;0.25;Pseudotolithus;0.25;Pseudotolithus senegalensis;0.25
122;Bamboung_180;Carangues;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;1.0;Carangidae;1.0;Caranx;1.0;hippos;0.25
123;Bamboung_180;Crabes;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Portunidae;0.25;;;;
124;Bamboung_180;Crevettes;Animalia;1.0;Arthropoda;1.0;Malacostraca;1.0;Decapoda;1.0;Penaeidae;0.75;Penaeus;0.5;Penaeus kerathurus;0.25
125;Bamboung_180;Dauphins;Animalia;1.0;Chordata;1.0;Mammalia;1.0;Cetacea;0.75;Delphinidae;1.0;Tursiops;1.0;Tursiops truncatus;0.75
126;Bamboung_180;Detritus;;;;;;;;;;;;;;
127;Bamboung_180;Diagramme +;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Haemulidae;0.75;Diagramma;0.25;Diagramma pictum;0.25
128;Bamboung_180;Elops;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Elopiformes;1.0;Elopidae;1.0;Elops;1.0;Elops senegalensis;0.5
129;Bamboung_180;Ethmalose;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Clupeiformes;1.0;Clupeidae;1.0;Ethmalosa;1.0;Ethmalosa fimbriata;0.75
130;Bamboung_180;Gerres;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.75;Gerreidae;1.0;Gerres;1.0;Gerres oyena;0.25
131;Bamboung_180;Grand capitaine;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;0.375;Carangidae;0.25;Seriola;0.25;Seriola dumerili;0.25
132;Bamboung_180;Macrobenthos;Animalia;1.0;Mollusca;0.25;Bivalvia;0.25;Nereidida;0.25;Arcidae;0.25;Anadara;0.25;Anadara senilis;0.25
133;Bamboung_180;Meiobenthos;Animalia;1.0;Nematoda;0.5;Chromadorea;0.25;Multiple;0.0;Multiple;0.0;Terschellingia;0.25;Terschellingia longicaudata;0.25
134;Bamboung_180;Microphytobenth;Chromista;0.5;Bacillariophyta;0.25;Bacillariophyceae;0.5;Naviculales;0.5;Naviculaceae;0.5;Navicula;0.5;Navicula perminuta;0.25
135;Bamboung_180;Mulets;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Mugiliformes;0.75;Mugilidae;1.0;Mugil;1.0;Mugil cephalus;0.5
136;Bamboung_180;Mâchoirons mari;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Siluriformes;0.25;Ariidae;0.25;Arius;0.25;Arius latiscutatus;0.25
137;Bamboung_180;Oiseaux;Animalia;1.0;Chordata;1.0;Aves;1.0;Charadriiformes;0.25;Sternidae;0.25;Sterna;0.25;Sterna hirundo;0.25
138;Bamboung_180;Otolithes +;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;0.5;Sciaenidae;0.75;Pseudotolithus;0.25;Pseudotolithus senegalensis;0.25
139;Bamboung_180;Petits benthoph;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Gobiiformes;0.5;Gobiidae;0.75;;;;
140;Bamboung_180;Phytoplancton;Chromista;0.5;Ochrophyta;0.25;Bacillariophyceae;0.25;Thalassiosirales;0.5;Skeletonemataceae;0.25;Skeletonema;0.25;Skeletonema costatum;0.25
141;Bamboung_180;Pomadasys;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Perciformes;1.0;Haemulidae;1.0;Pomadasys;1.0;;
142;Bamboung_180;Pompaneau +;Animalia;1.0;Chordata;1.0;Actinopterygii;1.0;Carangiformes;1.0;Carangidae;1.0;Trachinotus;1.0;teraia;0.25
143;Bamboung_180;Raies;Animalia;1.0;Chordata;1.0;Chondrichthyes;0.75;Myliobatiformes;0.75;Dasyatidae;0.5;Dasyatis;0.5;Dasyatis pastinaca;0.5
