;QueryName;Status;FileName;OriginalName;ScientificName;AphiaID;Rank;Kingdom;Phylum;Class;Order;Family;Genus;Species
38;Brachyura;accepted;Aegean_Sea_760;Slope crabs;Brachyura;106673.0;Infraorder;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan
39;NO_DATA;Not Found;Aegean_Sea_760;Small demersals 1;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
40;Sardina pilchardus;accepted;Aegean_Sea_760;Small demersals 2;Sardina pilchardus;126421.0;Species;Animalia;Chordata;Teleostei;Clupeiformes;Alosidae;Sardina;Sardina pilchardus
41;Spicara smaris;accepted;Aegean_Sea_760;Small demersals 3;Spicara smaris;126830.0;Species;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Spicara;Spicara smaris
42;Teuthida;nomen dubium;Aegean_Sea_760;Squids;Teuthida;11716.0;Order;Animalia;Mollusca;Cephalopoda;Teuthida;None;None;Nan
43;Gadus chalcogrammus;accepted;Aleutian_Islands_252;Adult pollock;Gadus chalcogrammus;300735.0;Species;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus
44;Atheresthes stomias;accepted;Aleutian_Islands_252;Arrowtooth;Atheresthes stomias;279792.0;Species;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes stomias
45;Pleurogrammus monopterygius;accepted;Aleutian_Islands_252;Atka mackerel;Pleurogrammus monopterygius;282289.0;Species;Animalia;Chordata;Teleostei;Perciformes;Hexagrammidae;Pleurogrammus;Pleurogrammus monopterygius
46;Mysticeti;accepted;Aleutian_Islands_252;Baleen whales;Mysticeti;148724.0;Superfamily;Animalia;Chordata;Mammalia;Cetartiodactyla;None;None;Nan
47;Benthos;junior subjective synonym;Aleutian_Islands_252;Benthic inverts;Benthosaurus;296146.0;Genus;Animalia;Chordata;Teleostei;Aulopiformes;Ipnopidae;Benthosaurus;Nan
48;Aves;accepted;Aleutian_Islands_252;Birds;Aves;1836.0;Class;Animalia;Chordata;Aves;None;None;None;Nan
49;Cephalopoda;accepted;Aleutian_Islands_252;Cephalopods;Cephalopoda;11707.0;Class;Animalia;Mollusca;Cephalopoda;None;None;None;Nan
50;NO_DATA;Not Found;Aleutian_Islands_252;Deep L;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
51;NO_DATA;Not Found;Aleutian_Islands_252;Dem S M;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
52;Detritus;Not Found;Aleutian_Islands_252;Detritus;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
53;NO_DATA;Not Found;Aleutian_Islands_252;Epiben carnivores;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
54;Pleuronectiformes;accepted;Aleutian_Islands_252;Flatfish;Pleuronectiformes;10331.0;Order;Animalia;Chordata;Teleostei;Pleuronectiformes;None;None;Nan
55;Hippoglossus stenolepis;accepted;Aleutian_Islands_252;Halibut;Hippoglossus stenolepis;274290.0;Species;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus stenolepis
56;Clupea pallasii;accepted;Aleutian_Islands_252;Herring;Clupea pallasii;151159.0;Species;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
57;Gadus chalcogrammus;accepted;Aleutian_Islands_252;Juvenile pollock;Gadus chalcogrammus;300735.0;Species;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus
58;Actinopterygii;accepted;Aleutian_Islands_252;Large pelagics;Actinopterygii;10194.0;Gigaclass;Animalia;Chordata;None;None;None;None;Nan
59;NO_DATA;Not Found;Aleutian_Islands_252;Large pred demersals;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
60;Zooplankton;Not Found;Aleutian_Islands_252;Large zooplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
61;Macrophyta;Not Found;Aleutian_Islands_252;Macrophytes;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
62;Myctophidae;accepted;Aleutian_Islands_252;Myctophids;Myctophidae;125498.0;Family;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;None;Nan
63;Sebastes alutus;accepted;Aleutian_Islands_252;POP;Sebastes alutus;254573.0;Species;Animalia;Chordata;Teleostei;Perciformes;Sebastidae;Sebastes;Sebastes alutus
64;Gadus macrocephalus;accepted;Aleutian_Islands_252;Pacific cod;Gadus macrocephalus;254538.0;Species;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus macrocephalus
65;Phytoplankton;Not Found;Aleutian_Islands_252;Phytoplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
66;Sebastes;accepted;Aleutian_Islands_252;Rockfish;Sebastes;126175.0;Genus;Animalia;Chordata;Teleostei;Perciformes;Sebastidae;Sebastes;Nan
67;Eumetopias jubatus;accepted;Aleutian_Islands_252;SSL Adults;Eumetopias jubatus;254999.0;Species;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus
68;Eumetopias jubatus;accepted;Aleutian_Islands_252;SSL embryo;Eumetopias jubatus;254999.0;Species;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus
69;Eumetopias jubatus;accepted;Aleutian_Islands_252;SSL juveniles;Eumetopias jubatus;254999.0;Species;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus
70;Eumetopias jubatus;accepted;Aleutian_Islands_252;SSL pups;Eumetopias jubatus;254999.0;Species;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus
71;Anoplopoma fimbria;accepted;Aleutian_Islands_252;Sablefish;Anoplopoma fimbria;159463.0;Species;Animalia;Chordata;Teleostei;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria
72;Oncorhynchus;accepted;Aleutian_Islands_252;Salmon;Oncorhynchus;126140.0;Genus;Animalia;Chordata;Teleostei;Salmoniformes;Salmonidae;Oncorhynchus;Nan
73;Ammodytes hexapterus;accepted;Aleutian_Islands_252;Sandlance;Ammodytes hexapterus;254510.0;Species;Animalia;Chordata;Teleostei;Perciformes;Ammodytidae;Ammodytes;Ammodytes hexapterus
74;Enhydra lutris;accepted;Aleutian_Islands_252;Sea otters;Enhydra lutris;242598.0;Species;Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Enhydra;Enhydra lutris
75;Chondrichthyes;accepted;Aleutian_Islands_252;Shark and skates;Chondrichthyes;1517375.0;Parvphylum;Animalia;Chordata;None;None;None;None;Nan
76;Carcharodon carcharias;accepted;Aleutian_Islands_252;Shark mammal eater;Carcharodon carcharias;105838.0;Species;Animalia;Chordata;Elasmobranchii;Lamniformes;Lamnidae;Carcharodon;Carcharodon carcharias
77;Caridea;accepted;Aleutian_Islands_252;Shrimps;Caridea;106674.0;Infraorder;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan
78;Mammalia;accepted;Aleutian_Islands_252;Small mammals;Mammalia;1837.0;Class;Animalia;Chordata;Mammalia;None;None;None;Nan
79;Clupea pallasii;accepted;Aleutian_Islands_252;Small pelagics;Clupea pallasii;151159.0;Species;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
80;Zooplankton;Not Found;Aleutian_Islands_252;Small zooplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
81;Odontoceti;accepted;Aleutian_Islands_252;Toothed whales;Odontoceti;148723.0;Superfamily;Animalia;Chordata;Mammalia;Cetartiodactyla;None;None;Nan
82;Orcinus orca;accepted;Aleutian_Islands_252;Transient orca;Orcinus orca;137102.0;Species;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Orcinus;Orcinus orca
83;Carangidae;accepted;Australia_North_West_Shelf_405;AdCarangids;Carangidae;125523.0;Family;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;None;Nan
84;NO_DATA;Not Found;Australia_North_West_Shelf_405;BenPhytoplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
85;Carcharhinidae;accepted;Australia_North_West_Shelf_405;Coastal sharks;Carcharhinidae;105689.0;Family;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;None;Nan
86;Penaeidae;accepted;Australia_North_West_Shelf_405;ComPrawns;Penaeidae;106727.0;Family;Animalia;Arthropoda;Malacostraca;Decapoda;Penaeidae;None;Nan
87;Detritus;Not Found;Australia_North_West_Shelf_405;Detritus;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
88;NO_DATA;Not Found;Australia_North_West_Shelf_405;DpLgFish;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
89;Synodontidae;accepted;Australia_North_West_Shelf_405;DpLizard;Synodontidae;125449.0;Family;Animalia;Chordata;Teleostei;Aulopiformes;Synodontidae;None;Nan
90;Actinopterygii;accepted;Australia_North_West_Shelf_405;DpMedFish;Actinopterygii;10194.0;Gigaclass;Animalia;Chordata;None;None;None;None;Nan
91;Mullidae;accepted;Australia_North_West_Shelf_405;DpMullidae;Mullidae;125547.0;Family;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;None;Nan
92;Nemipteridae;accepted;Australia_North_West_Shelf_405;DpNemipterids;Nemipteridae;151459.0;Family;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;None;Nan
93;Leiognathidae;accepted;Australia_North_West_Shelf_405;DpPonyfish;Leiognathidae;125542.0;Family;Animalia;Chordata;Teleostei;Acanthuriformes;Leiognathidae;None;Nan
94;Actinopterygii;accepted;Australia_North_West_Shelf_405;DpSmFish;Actinopterygii;10194.0;Gigaclass;Animalia;Chordata;None;None;None;None;Nan
95;Sparidae;accepted;Australia_North_West_Shelf_405;FryPBream;Sparidae;125564.0;Family;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;None;Nan
96;Carangidae;accepted;Australia_North_West_Shelf_405;JuvCarangids;Carangidae;125523.0;Family;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;None;Nan
97;Copepoda;accepted;Australia_North_West_Shelf_405;LgZooplankton;Copepoda;1080.0;Class;Animalia;Arthropoda;Copepoda;None;None;None;Nan
98;NO_DATA;Not Found;Australia_North_West_Shelf_405;Macrofauna;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
99;NO_DATA;Not Found;Australia_North_West_Shelf_405;Megabenthos;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
100;Microphytobenthos;Not Found;Australia_North_West_Shelf_405;Microphytobenthos;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
101;NO_DATA;Not Found;Australia_North_West_Shelf_405;PelPhytoplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
102;Batoidea;accepted;Australia_North_West_Shelf_405;Rays;Batoidea;368409.0;Infraclass;Animalia;Chordata;Elasmobranchii;None;None;None;Nan
103;Lutjanus sebae;accepted;Australia_North_West_Shelf_405;RedEmperor;Lutjanus sebae;218499.0;Species;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;Lutjanus sebae
104;NO_DATA;Not Found;Australia_North_West_Shelf_405;SessEpibenthos;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
105;Lethrinidae;accepted;Australia_North_West_Shelf_405;ShLethrinids;Lethrinidae;151458.0;Family;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lethrinidae;None;Nan
106;Actinopterygii;accepted;Australia_North_West_Shelf_405;ShLgFish;Actinopterygii;10194.0;Gigaclass;Animalia;Chordata;None;None;None;None;Nan
107;Synodontidae;accepted;Australia_North_West_Shelf_405;ShLizard;Synodontidae;125449.0;Family;Animalia;Chordata;Teleostei;Aulopiformes;Synodontidae;None;Nan
108;Lutjanidae;accepted;Australia_North_West_Shelf_405;ShLutjanids;Lutjanidae;151453.0;Family;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;None;Nan
109;Actinopterygii;accepted;Australia_North_West_Shelf_405;ShMedFish;Actinopterygii;10194.0;Gigaclass;Animalia;Chordata;None;None;None;None;Nan
110;Mullidae;accepted;Australia_North_West_Shelf_405;ShMullidae;Mullidae;125547.0;Family;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;None;Nan
111;Nemipteridae;accepted;Australia_North_West_Shelf_405;ShNemipterirds;Nemipteridae;151459.0;Family;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;None;Nan
112;Serranidae;accepted;Australia_North_West_Shelf_405;ShSerranids;Serranidae;125561.0;Family;Animalia;Chordata;Teleostei;Perciformes;Serranidae;None;Nan
113;Actinopterygii;accepted;Australia_North_West_Shelf_405;ShSmFish;Actinopterygii;10194.0;Gigaclass;Animalia;Chordata;None;None;None;None;Nan
114;Haemulidae;accepted;Australia_North_West_Shelf_405;ShSweetlip;Haemulidae;125538.0;Family;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;None;Nan
115;Balistidae;accepted;Australia_North_West_Shelf_405;ShTriggerFish;Balistidae;125607.0;Family;Animalia;Chordata;Teleostei;Tetraodontiformes;Balistidae;None;Nan
116;Thunnini;Not Found;Australia_North_West_Shelf_405;SmTunas;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
117;Copepoda;accepted;Australia_North_West_Shelf_405;SmZooplankton;Copepoda;1080.0;Class;Animalia;Arthropoda;Copepoda;None;None;None;Nan
118;Clupeidae;accepted;Australia_North_West_Shelf_405;SmallPelagics;Clupeidae;125464.0;Family;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;None;Nan
119;Teuthida;nomen dubium;Australia_North_West_Shelf_405;Squid;Teuthida;11716.0;Order;Animalia;Mollusca;Cephalopoda;Teuthida;None;None;Nan
120;Sphyraena;accepted;Bamboung_180;Barracudas +;Sphyraena;126084.0;Genus;Animalia;Chordata;Teleostei;Carangaria incertae sedis;Sphyraenidae;Sphyraena;Nan
121;Lutjanus agennes;accepted;Bamboung_180;Breton africain;Lutjanus agennes;276520.0;Species;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;Lutjanus agennes
122;Caranx hippos;accepted;Bamboung_180;Carangues;Caranx hippos;126803.0;Species;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Caranx;Caranx hippos
123;Brachyura;accepted;Bamboung_180;Crabes;Brachyura;106673.0;Infraorder;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan
124;Dendrobranchiata;accepted;Bamboung_180;Crevettes;Dendrobranchiata;106669.0;Suborder;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan
125;Tursiops truncatus;accepted;Bamboung_180;Dauphins;Tursiops truncatus;137111.0;Species;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Tursiops;Tursiops truncatus
126;Detritus;Not Found;Bamboung_180;Detritus;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
127;Plectorhinchus;accepted;Bamboung_180;Diagramme +;Plectorhinchus;126010.0;Genus;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Plectorhinchus;Nan
128;Elops senegalensis;accepted;Bamboung_180;Elops;Elops senegalensis;275406.0;Species;Animalia;Chordata;Teleostei;Elopiformes;Elopidae;Elops;Elops senegalensis
129;Ethmalosa fimbriata;accepted;Bamboung_180;Ethmalose;Ethmalosa fimbriata;280725.0;Species;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Ethmalosa;Ethmalosa fimbriata
130;Gerres nigri;accepted;Bamboung_180;Gerres;Gerres nigri;276963.0;Species;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Gerreidae;Gerres;Gerres nigri
131;Polydactylus quadrifilis;accepted;Bamboung_180;Grand capitaine;Polydactylus quadrifilis;276599.0;Species;Animalia;Chordata;Teleostei;Carangaria incertae sedis;Polynemidae;Polydactylus;Polydactylus quadrifilis
132;Macrobenthos;Not Found;Bamboung_180;Macrobenthos;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
133;Meiobenthos;Not Found;Bamboung_180;Meiobenthos;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
134;Microphytobenthos;Not Found;Bamboung_180;Microphytobenth;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
135;Mugil cephalus;accepted;Bamboung_180;Mulets;Mugil cephalus;126983.0;Species;Animalia;Chordata;Teleostei;Mugiliformes;Mugilidae;Mugil;Mugil cephalus
136;Arius latiscutatus;unaccepted;Bamboung_180;Mâchoirons mari;Arius latiscutatus;275576.0;Species;Animalia;Chordata;Teleostei;Siluriformes;Ariidae;Arius;Arius latiscutatus
137;Aves;accepted;Bamboung_180;Oiseaux;Aves;1836.0;Class;Animalia;Chordata;Aves;None;None;None;Nan
138;Pseudotolithus senegalensis;accepted;Bamboung_180;Otolithes +;Pseudotolithus senegalensis;127008.0;Species;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sciaenidae;Pseudotolithus;Pseudotolithus senegalensis
139;Teleostei;accepted;Bamboung_180;Petits benthoph;Teleostei;293496.0;Class;Animalia;Chordata;Teleostei;None;None;None;Nan
140;Phytoplankton;Not Found;Bamboung_180;Phytoplancton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
141;Pomadasys;accepted;Bamboung_180;Pomadasys;Pomadasys;126011.0;Genus;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Pomadasys;Nan
142;Trachinotus ovatus;accepted;Bamboung_180;Pompaneau +;Trachinotus ovatus;126819.0;Species;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachinotus;Trachinotus ovatus
143;Myliobatoidei;Not Found;Bamboung_180;Raies;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
144;Carcharhinus leucas;accepted;Bamboung_180;Requins;Carcharhinus leucas;105792.0;Species;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus leucas
145;Sardinella maderensis;accepted;Bamboung_180;Sardinelle +;Sardinella maderensis;126423.0;Species;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Sardinella;Sardinella maderensis
146;Cynoglossus senegalensis;accepted;Bamboung_180;Sole-langue +;Cynoglossus senegalensis;274226.0;Species;Animalia;Chordata;Teleostei;Pleuronectiformes;Cynoglossidae;Cynoglossus;Cynoglossus senegalensis
147;Cichlidae;accepted;Bamboung_180;Tilapias;Cichlidae;151383.0;Family;Animalia;Chordata;Teleostei;Cichliformes;Cichlidae;None;Nan
148;Tetraodontidae;accepted;Bamboung_180;Tétrodon +;Tetraodontidae;125612.0;Family;Animalia;Chordata;Teleostei;Tetraodontiformes;Tetraodontidae;None;Nan
149;Lutjanus;accepted;Bamboung_180;Vivaneaux +;Lutjanus;159791.0;Genus;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;Nan
150;Zooplankton;Not Found;Bamboung_180;Zooplancton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
151;NO_DATA;Not Found;Bay_of_Biscay_335;Anchovy;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
152;Bacteria;accepted;Bay_of_Biscay_335;Bacteria;Bacteria;6.0;Kingdom;Bacteria;None;None;None;None;None;Nan
153;Cephalopoda;accepted;Bay_of_Biscay_335;Benthic cephalopods;Cephalopoda;11707.0;Class;Animalia;Mollusca;Cephalopoda;None;None;None;Nan
154;NO_DATA;Not Found;Bay_of_Biscay_335;Benthic meiofauna;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
155;NO_DATA;Not Found;Bay_of_Biscay_335;Benthivorous demersal fish;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
156;Tursiops truncatus;accepted;Bay_of_Biscay_335;Bottlenose dolphins;Tursiops truncatus;137111.0;Species;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Tursiops;Tursiops truncatus
157;NO_DATA;Not Found;Bay_of_Biscay_335;Carnivorous benthic invertebrates;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
158;Delphinus delphis;accepted;Bay_of_Biscay_335;Common dolphins;Delphinus delphis;137094.0;Species;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Delphinus;Delphinus delphis
159;NO_DATA;Not Found;Bay_of_Biscay_335;Detritus;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
160;NO_DATA;Not Found;Bay_of_Biscay_335;Discards;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
161;Phocoena phocoena;accepted;Bay_of_Biscay_335;Harbour porpoises;Phocoena phocoena;137117.0;Species;Animalia;Chordata;Mammalia;Cetartiodactyla;Phocoenidae;Phocoena;Phocoena phocoena
162;NO_DATA;Not Found;Bay_of_Biscay_335;Horse mackerel;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
163;Phytoplankton;Not Found;Bay_of_Biscay_335;Large phytoplankton;Nan;;;Nan;Nan;Nan;Nan;Nan;Nan;Nan
164;Globicephala melas;accepted;Bay_of_Biscay_335;Long-finned pilot whales;Globicephala melas;137097.0;Species;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Globicephala;Globicephala melas
