;QueryName;ScientificName;AphiaID;Rank;Status;Kingdom;Phylum;Class;Order;Family;Genus;Species;FileName;OriginalName
21;Nephrops norvegicus;Nephrops norvegicus;107254.0;Species;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Nephrops;Nephrops norvegicus;Aegean_Sea_760;Norway lobster
22;Cephalopoda;Cephalopoda;11707.0;Class;accepted;Animalia;Mollusca;Cephalopoda;None;None;None;Nan;Aegean_Sea_760;Octopus and cuttlefish
23;Gadidae;Gadidae;125469.0;Family;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;None;Nan;Aegean_Sea_760;Other gadiforms
24;Clupeidae;Clupeidae;125464.0;Family;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;None;Nan;Aegean_Sea_760;Other small pelagics
25;Phytoplankton;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aegean_Sea_760;Phytoplankton
26;Sparidae;Sparidae;125564.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;None;Nan;Aegean_Sea_760;Picarels and bogue
27;Stomiidae;Stomiidae;125604.0;Family;accepted;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;None;Nan;Aegean_Sea_760;Piscivorous deep sea fish
28;Cyclothone;Cyclothone;126187.0;Genus;accepted;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Cyclothone;Nan;Aegean_Sea_760;Planktivorous deep sea fish
29;Polychaeta;Polychaeta;883.0;Class;accepted;Animalia;Annelida;Polychaeta;None;None;None;Nan;Aegean_Sea_760;Polychaetes
30;Rajidae;Rajidae;105711.0;Family;accepted;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;None;Nan;Aegean_Sea_760;Rays and skates
31;Mullidae;Mullidae;125547.0;Family;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;None;Nan;Aegean_Sea_760;Red mullets
32;Scorpaena;Scorpaena;126171.0;Genus;accepted;Animalia;Chordata;Teleostei;Perciformes;Scorpaenidae;Scorpaena;Nan;Aegean_Sea_760;Rockfish
33;Testudines;Testudines;2689.0;Order;accepted;Animalia;Chordata;None;Testudines;None;None;Nan;Aegean_Sea_760;Sea turtles
34;Aves;Aves;1836.0;Class;accepted;Animalia;Chordata;Aves;None;None;None;Nan;Aegean_Sea_760;Seabirds
35;Selachimorpha;Selachimorpha;1779682.0;Superorder;superseded rank;Animalia;Chordata;Elasmobranchii;None;None;None;Nan;Aegean_Sea_760;Sharks
36;Decapoda;Decapoda;1130.0;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Aegean_Sea_760;Shelf crabs
37;Decapoda;Decapoda;1130.0;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Aegean_Sea_760;Shrimps
38;Decapoda;Decapoda;1130.0;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Aegean_Sea_760;Slope crabs
39;Gobiidae;Gobiidae;125537.0;Family;accepted;Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;None;Nan;Aegean_Sea_760;Small demersals 1
40;Gobius;Gobius;125988.0;Genus;accepted;Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Gobius;Nan;Aegean_Sea_760;Small demersals 2
41;Atherina;Atherina;125659.0;Genus;accepted;Animalia;Chordata;Teleostei;Atheriniformes;Atherinidae;Atherina;Nan;Aegean_Sea_760;Small demersals 3
42;Teuthida;Teuthida;11716.0;Order;nomen dubium;Animalia;Mollusca;Cephalopoda;Teuthida;None;None;Nan;Aegean_Sea_760;Squids
43;Gadus chalcogrammus;Gadus chalcogrammus;300735.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Aleutian_Islands_252;Adult pollock
44;Atheresthes stomias;Atheresthes stomias;279792.0;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes stomias;Aleutian_Islands_252;Arrowtooth
45;Pleuragramma monopterygius;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Atka mackerel
46;Mysticeti;Mysticeti;148724.0;Superfamily;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;None;None;Nan;Aleutian_Islands_252;Baleen whales
47;Invertebrata (benthic);Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Benthic inverts
48;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Birds
49;Cephalopoda;Cephalopoda;11707.0;Class;accepted;Animalia;Mollusca;Cephalopoda;None;None;None;Nan;Aleutian_Islands_252;Cephalopods
50;Liparidae;Liparidae;234519.0;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Liparidae;None;Nan;Aleutian_Islands_252;Deep L
51;Gadidae;Gadidae;125469.0;Family;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;None;Nan;Aleutian_Islands_252;Dem S M
52;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Detritus
53;Actinopterygii (epibenthic carnivores);Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Epiben carnivores
54;Pleuronectidae;Pleuronectidae;125579.0;Family;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;None;Nan;Aleutian_Islands_252;Flatfish
55;Hippoglossus stenolepis;Hippoglossus stenolepis;274290.0;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus stenolepis;Aleutian_Islands_252;Halibut
56;Clupea pallasii;Clupea pallasii;151159.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;Clupea;Clupea pallasii;Aleutian_Islands_252;Herring
57;Gadus chalcogrammus;Gadus chalcogrammus;300735.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Aleutian_Islands_252;Juvenile pollock
58;Pelagii;Pelagiidae;135240.0;Family;accepted;Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Pelagiidae;None;Nan;Aleutian_Islands_252;Large pelagics
59;Gadidae;Gadidae;125469.0;Family;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;None;Nan;Aleutian_Islands_252;Large pred demersals
60;Copepoda;Copepoda;1080.0;Class;accepted;Animalia;Arthropoda;Copepoda;None;None;None;Nan;Aleutian_Islands_252;Large zooplankton
61;Laminariales;Laminariales;845.0;Order;accepted;Chromista;Ochrophyta;Phaeophyceae;Laminariales;None;None;Nan;Aleutian_Islands_252;Macrophytes
62;Myctophidae;Myctophidae;125498.0;Family;accepted;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;None;Nan;Aleutian_Islands_252;Myctophids
63;Sebastes spp.;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;POP
64;Gadus macrocephalus;Gadus macrocephalus;254538.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus macrocephalus;Aleutian_Islands_252;Pacific cod
65;Bacillariophyta;Bacillariophyta;148898.0;Phylum;accepted;Chromista;Bacillariophyta;None;None;None;None;Nan;Aleutian_Islands_252;Phytoplankton
66;Sebastes spp.;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Rockfish
67;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;SSL Adults
68;Eumetopias jubatus;Eumetopias jubatus;254999.0;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Aleutian_Islands_252;SSL embryo
69;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;SSL juveniles
70;Eumetopias jubatus;Eumetopias jubatus;254999.0;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Aleutian_Islands_252;SSL pups
71;Anoplopoma fimbria;Anoplopoma fimbria;159463.0;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria;Aleutian_Islands_252;Sablefish
72;Oncorhynchus;Oncorhynchus;126140.0;Genus;accepted;Animalia;Chordata;Teleostei;Salmoniformes;Salmonidae;Oncorhynchus;Nan;Aleutian_Islands_252;Salmon
73;Ammodytes hexapterus;Ammodytes hexapterus;254510.0;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Ammodytidae;Ammodytes;Ammodytes hexapterus;Aleutian_Islands_252;Sandlance
74;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Sea otters
75;Elasmobranchii;Elasmobranchii;10193.0;Class;accepted;Animalia;Chordata;Elasmobranchii;None;None;None;Nan;Aleutian_Islands_252;Shark and skates
76;Lamna;Lamna;105744.0;Genus;accepted;Animalia;Chordata;Elasmobranchii;Lamniformes;Lamnidae;Lamna;Nan;Aleutian_Islands_252;Shark mammal eater
77;Decapoda;Decapoda;1130.0;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Aleutian_Islands_252;Shrimps
78;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Small mammals
79;Clupeiformes;Clupeiformes;10297.0;Order;accepted;Animalia;Chordata;Teleostei;Clupeiformes;None;None;Nan;Aleutian_Islands_252;Small pelagics
80;Copepoda;Copepoda;1080.0;Class;accepted;Animalia;Arthropoda;Copepoda;None;None;None;Nan;Aleutian_Islands_252;Small zooplankton
81;Odontoceti;Odontoceti;148723.0;Superfamily;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;None;None;Nan;Aleutian_Islands_252;Toothed whales
82;Orcinus orca;Orcinus orca;137102.0;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Orcinus;Orcinus orca;Aleutian_Islands_252;Transient orca
83;Carangidae;Carangidae;125523.0;Family;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;None;Nan;Australia_North_West_Shelf_405;AdCarangids
84;Benthic Phytoplankton (Bacillariophyta, Chlorophyta, Rhodophyta);Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;BenPhytoplankton
85;Carcharhinidae;Carcharhinidae;105689.0;Family;accepted;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;None;Nan;Australia_North_West_Shelf_405;Coastal sharks
86;Penaeidae;Penaeidae;106727.0;Family;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Penaeidae;None;Nan;Australia_North_West_Shelf_405;ComPrawns
87;Detritus;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;Detritus
88;Epinephelidae;Epinephelidae;1776907.0;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Epinephelidae;None;Nan;Australia_North_West_Shelf_405;DpLgFish
89;Nemichthyidae;Nemichthyidae;125432.0;Family;accepted;Animalia;Chordata;Teleostei;Anguilliformes;Nemichthyidae;None;Nan;Australia_North_West_Shelf_405;DpLizard
90;Beryx splendens;Beryx splendens;126395.0;Species;accepted;Animalia;Chordata;Teleostei;Beryciformes;Berycidae;Beryx;Beryx splendens;Australia_North_West_Shelf_405;DpMedFish
91;Mullidae;Mullidae;125547.0;Family;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;None;Nan;Australia_North_West_Shelf_405;DpMullidae
92;Nemipteridae;Nemipteridae;151459.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;None;Nan;Australia_North_West_Shelf_405;DpNemipterids
93;Leiognathidae;Leiognathidae;125542.0;Family;accepted;Animalia;Chordata;Teleostei;Acanthuriformes;Leiognathidae;None;Nan;Australia_North_West_Shelf_405;DpPonyfish
94;Saurida spp.;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;DpSmFish
95;Sparidae;Sparidae;125564.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;None;Nan;Australia_North_West_Shelf_405;FryPBream
96;Carangidae;Carangidae;125523.0;Family;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;None;Nan;Australia_North_West_Shelf_405;JuvCarangids
97;Zooplankton (Copepoda, Euphausiacea, Amphipoda);Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;LgZooplankton
98;Macrofauna;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;Macrofauna
99;Megabenthos;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;Megabenthos
100;Microphytobenthos;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;Microphytobenthos
101;Phytoplankton (Bacillariophyta, Dinophyta, Coccolithophyta);Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;PelPhytoplankton
102;Rajiformes;Rajiformes;10216.0;Order;accepted;Animalia;Chordata;Elasmobranchii;Rajiformes;None;None;Nan;Australia_North_West_Shelf_405;Rays
103;Lutjanus sebae;Lutjanus sebae;218499.0;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;Lutjanus sebae;Australia_North_West_Shelf_405;RedEmperor
104;Sessilia;Sessilia;106033.0;Order;uncertain;Animalia;Arthropoda;Thecostraca;Sessilia;None;None;Nan;Australia_North_West_Shelf_405;SessEpibenthos
105;Lethrinidae;Lethrinidae;151458.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lethrinidae;None;Nan;Australia_North_West_Shelf_405;ShLethrinids
106;Scomberomorus commerson;Scomberomorus commerson;127024.0;Species;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomberomorus;Scomberomorus commerson;Australia_North_West_Shelf_405;ShLgFish
107;Synaphobranchidae;Synaphobranchidae;125436.0;Family;accepted;Animalia;Chordata;Teleostei;Anguilliformes;Synaphobranchidae;None;Nan;Australia_North_West_Shelf_405;ShLizard
108;Lutjanidae;Lutjanidae;151453.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;None;Nan;Australia_North_West_Shelf_405;ShLutjanids
109;Caranx spp.;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;ShMedFish
110;Mullidae;Mullidae;125547.0;Family;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;None;Nan;Australia_North_West_Shelf_405;ShMullidae
111;Nemipteridae;Nemipteridae;151459.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;None;Nan;Australia_North_West_Shelf_405;ShNemipterirds
112;Serranidae;Serranidae;125561.0;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Serranidae;None;Nan;Australia_North_West_Shelf_405;ShSerranids
113;Sardinella lemuru;Sardinella lemuru;272273.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Sardinella;Sardinella lemuru;Australia_North_West_Shelf_405;ShSmFish
114;Haemulidae;Haemulidae;125538.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;None;Nan;Australia_North_West_Shelf_405;ShSweetlip
115;Balistidae;Balistidae;125607.0;Family;accepted;Animalia;Chordata;Teleostei;Tetraodontiformes;Balistidae;None;Nan;Australia_North_West_Shelf_405;ShTriggerFish
116;Scombridae;Scombridae;125559.0;Family;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;None;Nan;Australia_North_West_Shelf_405;SmTunas
117;Copepoda (small species);Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;SmZooplankton
118;Clupeidae;Clupeidae;125464.0;Family;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;None;Nan;Australia_North_West_Shelf_405;SmallPelagics
119;Teuthida;Teuthida;11716.0;Order;nomen dubium;Animalia;Mollusca;Cephalopoda;Teuthida;None;None;Nan;Australia_North_West_Shelf_405;Squid
120;Sphyraena spp.;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Barracudas +
121;Pomadasys;Pomadasys;126011.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Pomadasys;Nan;Bamboung_180;Breton africain
122;Caranx;Caranx;125936.0;Genus;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Caranx;Nan;Bamboung_180;Carangues
123;Brachyura;Brachyura;106673.0;Infraorder;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Bamboung_180;Crabes
124;Decapoda;Decapoda;1130.0;Order;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Bamboung_180;Crevettes
125;Delphinidae;Delphinidae;136980.0;Family;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;None;Nan;Bamboung_180;Dauphins
126;Detritus;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Detritus
127;Plectorhinchus spp.;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Diagramme +
128;Elops;Elops;843434.0;Genus;junior homonym;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Elops;Nan;Bamboung_180;Elops
129;Ethmalosa fimbriata;Ethmalosa fimbriata;280725.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Ethmalosa;Ethmalosa fimbriata;Bamboung_180;Ethmalose
130;Gerres;Gerres;204064.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Gerreidae;Gerres;Nan;Bamboung_180;Gerres
131;Polydactylus quadrifilis;Polydactylus quadrifilis;276599.0;Species;accepted;Animalia;Chordata;Teleostei;Carangaria incertae sedis;Polynemidae;Polydactylus;Polydactylus quadrifilis;Bamboung_180;Grand capitaine
132;Macrobenthos;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Macrobenthos
133;Meiobenthos;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Meiobenthos
134;Microphytobenthos;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Microphytobenth
135;Mugilidae;Mugilidae;125546.0;Family;accepted;Animalia;Chordata;Teleostei;Mugiliformes;Mugilidae;None;Nan;Bamboung_180;Mulets
136;Polydactylus;Polydactylus;159849.0;Genus;accepted;Animalia;Chordata;Teleostei;Carangaria incertae sedis;Polynemidae;Polydactylus;Nan;Bamboung_180;Mâchoirons mari
137;Aves;Aves;1836.0;Class;accepted;Animalia;Chordata;Aves;None;None;None;Nan;Bamboung_180;Oiseaux
138;Otolithus;Otolithus;297320.0;Genus;unaccepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sciaenidae;Otolithus;Nan;Bamboung_180;Otolithes +
139;Gobiidae;Gobiidae;125537.0;Family;accepted;Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;None;Nan;Bamboung_180;Petits benthoph
140;Phytoplankton;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Phytoplancton
141;Pomadasys;Pomadasys;126011.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Pomadasys;Nan;Bamboung_180;Pomadasys
142;Trachinotus;Trachinotus;125945.0;Genus;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachinotus;Nan;Bamboung_180;Pompaneau +
143;Rajiformes;Rajiformes;10216.0;Order;accepted;Animalia;Chordata;Elasmobranchii;Rajiformes;None;None;Nan;Bamboung_180;Raies
144;Carcharhinus;Carcharhinus;105719.0;Genus;accepted;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;Nan;Bamboung_180;Requins
145;Sardinella aurita;Sardinella aurita;126422.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Sardinella;Sardinella aurita;Bamboung_180;Sardinelle +
146;Cynoglossus senegalensis;Cynoglossus senegalensis;274226.0;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Cynoglossidae;Cynoglossus;Cynoglossus senegalensis;Bamboung_180;Sole-langue +
147;Tilapia;Tilapia;271096.0;Genus;accepted;Animalia;Chordata;Teleostei;Cichliformes;Cichlidae;Tilapia;Nan;Bamboung_180;Tilapias
148;Tetraodontidae spp.;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Tétrodon +
149;Lutjanus spp.;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Vivaneaux +
150;Zooplankton;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Zooplancton
151;Engraulis encrasicolus;Engraulis encrasicolus;126426.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;Bay_of_Biscay_335;Anchovy
152;Bacteria;Bacteria;6.0;Kingdom;accepted;Bacteria;None;None;None;None;None;Nan;Bay_of_Biscay_335;Bacteria
153;Cephalopoda;Cephalopoda;11707.0;Class;accepted;Animalia;Mollusca;Cephalopoda;None;None;None;Nan;Bay_of_Biscay_335;Benthic cephalopods
154;Nematoda;Nematoda;799.0;Phylum;accepted;Animalia;Nematoda;None;None;None;None;Nan;Bay_of_Biscay_335;Benthic meiofauna
155;Gadidae;Gadidae;125469.0;Family;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;None;Nan;Bay_of_Biscay_335;Benthivorous demersal fish
156;Tursiops truncatus;Tursiops truncatus;137111.0;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Tursiops;Tursiops truncatus;Bay_of_Biscay_335;Bottlenose dolphins
157;Invertebrata;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bay_of_Biscay_335;Carnivorous benthic invertebrates
158;Delphinus delphis;Delphinus delphis;137094.0;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Delphinus;Delphinus delphis;Bay_of_Biscay_335;Common dolphins
159;Detritus organicum;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bay_of_Biscay_335;Detritus
160;Mixed teleostei;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bay_of_Biscay_335;Discards
161;Phocoena phocoena;Phocoena phocoena;137117.0;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Phocoenidae;Phocoena;Phocoena phocoena;Bay_of_Biscay_335;Harbour porpoises
162;Trachurus trachurus;Trachurus trachurus;126822.0;Species;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;Trachurus trachurus;Bay_of_Biscay_335;Horse mackerel
163;Bacillariophyta;Bacillariophyta;148898.0;Phylum;accepted;Chromista;Bacillariophyta;None;None;None;None;Nan;Bay_of_Biscay_335;Large phytoplankton
