;QueryName;ScientificName;AphiaID;Rank;Status;Kingdom;Phylum;Class;Order;Family;Genus;Species;FileName;OriginalName
13;Nephropidae;Nephropidae;106741.0;Family;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;None;Nan;Aegean_Sea_760;Lobsters
14;Scomber scombrus;Scomber scombrus;127023.0;Species;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;Scomber scombrus;Aegean_Sea_760;Mackerels
15;Euphausiacea;Euphausiacea;1128.0;Order;accepted;Animalia;Arthropoda;Malacostraca;Euphausiacea;None;None;Nan;Aegean_Sea_760;Macrozooplankton
16;Scombridae;Scombridae;125559.0;Family;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;None;Nan;Aegean_Sea_760;Medium pelagics
17;Merluccius merluccius;Merluccius merluccius;126484.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Aegean_Sea_760;Medium-large demersals 1
18;Mullus barbatus;Mullus barbatus;126985.0;Species;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;Mullus;Mullus barbatus;Aegean_Sea_760;Medium-large demersals 2
19;Copepoda;Copepoda;1080.0;Class;accepted;Animalia;Arthropoda;Copepoda;None;None;None;Nan;Aegean_Sea_760;Micro/Mesozooplankton
20;Monachus monachus;Monachus monachus;137081.0;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Phocidae;Monachus;Monachus monachus;Aegean_Sea_760;Monk seal
21;Nephrops norvegicus;Nephrops norvegicus;107254.0;Species;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Nephrops;Nephrops norvegicus;Aegean_Sea_760;Norway lobster
22;Octopodidae;Octopodidae;11782.0;Family;accepted;Animalia;Mollusca;Cephalopoda;Octopoda;Octopodidae;None;Nan;Aegean_Sea_760;Octopus and cuttlefish
23;Gadiformes;Gadiformes;10313.0;Order;accepted;Animalia;Chordata;Teleostei;Gadiformes;None;None;Nan;Aegean_Sea_760;Other gadiforms
24;Engraulis;Engraulis;125724.0;Genus;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Nan;Aegean_Sea_760;Other small pelagics
25;Phytoplankton;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aegean_Sea_760;Phytoplankton
26;Boops boops;Boops boops;127047.0;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Boops;Boops boops;Aegean_Sea_760;Picarels and bogue
27;Actinopterygii;Actinopterygii;10194.0;Gigaclass;accepted;Animalia;Chordata;None;None;None;None;Nan;Aegean_Sea_760;Piscivorous deep sea fish
28;Benthosema glaciale;Benthosema glaciale;126580.0;Species;accepted;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Benthosema;Benthosema glaciale;Aegean_Sea_760;Planktivorous deep sea fish
29;Polychaeta;Polychaeta;883.0;Class;accepted;Animalia;Annelida;Polychaeta;None;None;None;Nan;Aegean_Sea_760;Polychaetes
30;Rajiformes;Rajiformes;10216.0;Order;accepted;Animalia;Chordata;Elasmobranchii;Rajiformes;None;None;Nan;Aegean_Sea_760;Rays and skates
31;Mullidae;Mullidae;125547.0;Family;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;None;Nan;Aegean_Sea_760;Red mullets
32;Scorpaenidae;Scorpaenidae;125595.0;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Scorpaenidae;None;Nan;Aegean_Sea_760;Rockfish
33;Testudines;Testudines;2689.0;Order;accepted;Animalia;Chordata;None;Testudines;None;None;Nan;Aegean_Sea_760;Sea turtles
34;Aves;Aves;1836.0;Class;accepted;Animalia;Chordata;Aves;None;None;None;Nan;Aegean_Sea_760;Seabirds
35;Selachimorpha;Selachimorpha;1779682.0;Superorder;superseded rank;Animalia;Chordata;Elasmobranchii;None;None;None;Nan;Aegean_Sea_760;Sharks
36;Brachyura;Brachyura;106673.0;Infraorder;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Aegean_Sea_760;Shelf crabs
37;Caridea;Caridea;106674.0;Infraorder;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Aegean_Sea_760;Shrimps
38;Brachyura;Brachyura;106673.0;Infraorder;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Aegean_Sea_760;Slope crabs
39;Demersal fish;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aegean_Sea_760;Small demersals 1
40;Gobiidae;Gobiidae;125537.0;Family;accepted;Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;None;Nan;Aegean_Sea_760;Small demersals 2
41;Labridae;Labridae;125541.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;None;Nan;Aegean_Sea_760;Small demersals 3
42;Teuthida;Teuthida;11716.0;Order;nomen dubium;Animalia;Mollusca;Cephalopoda;Teuthida;None;None;Nan;Aegean_Sea_760;Squids
43;Gadus chalcogrammus;Gadus chalcogrammus;300735.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Aleutian_Islands_252;Adult pollock
44;Atheresthes stomias;Atheresthes stomias;279792.0;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes stomias;Aleutian_Islands_252;Arrowtooth
45;Pleurogrammus monopterygius;Pleurogrammus monopterygius;282289.0;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Hexagrammidae;Pleurogrammus;Pleurogrammus monopterygius;Aleutian_Islands_252;Atka mackerel
46;Mysticeti;Mysticeti;148724.0;Superfamily;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;None;None;Nan;Aleutian_Islands_252;Baleen whales
47;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Benthic inverts
48;Aves;Aves;1836.0;Class;accepted;Animalia;Chordata;Aves;None;None;None;Nan;Aleutian_Islands_252;Birds
49;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Cephalopods
50;Liparidae;Liparidae;234519.0;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Liparidae;None;Nan;Aleutian_Islands_252;Deep L
51;Sebastes;Sebastes;126175.0;Genus;accepted;Animalia;Chordata;Teleostei;Perciformes;Sebastidae;Sebastes;Nan;Aleutian_Islands_252;Dem S M
52;Detritus;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Detritus
53;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Epiben carnivores
54;Pleuronectiformes;Pleuronectiformes;10331.0;Order;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;None;None;Nan;Aleutian_Islands_252;Flatfish
55;Hippoglossus stenolepis;Hippoglossus stenolepis;274290.0;Species;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus stenolepis;Aleutian_Islands_252;Halibut
56;Clupea;Clupea;125716.0;Genus;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;Clupea;Nan;Aleutian_Islands_252;Herring
57;Gadus chalcogrammus;Gadus chalcogrammus;300735.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Aleutian_Islands_252;Juvenile pollock
58;Scombridae;Scombridae;125559.0;Family;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;None;Nan;Aleutian_Islands_252;Large pelagics
59;Gadus chalcogrammus;Gadus chalcogrammus;300735.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Aleutian_Islands_252;Large pred demersals
60;Calanoida;Calanoida;1100.0;Order;accepted;Animalia;Arthropoda;Copepoda;Calanoida;None;None;Nan;Aleutian_Islands_252;Large zooplankton
61;Phaeophyceae;Phaeophyceae;830.0;Class;accepted;Chromista;Ochrophyta;Phaeophyceae;None;None;None;Nan;Aleutian_Islands_252;Macrophytes
62;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Myctophids
63;Sebastes;Sebastes;126175.0;Genus;accepted;Animalia;Chordata;Teleostei;Perciformes;Sebastidae;Sebastes;Nan;Aleutian_Islands_252;POP
64;Gadus macrocephalus;Gadus macrocephalus;254538.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus macrocephalus;Aleutian_Islands_252;Pacific cod
65;Bacillariophyta;Bacillariophyta;148898.0;Phylum;accepted;Chromista;Bacillariophyta;None;None;None;None;Nan;Aleutian_Islands_252;Phytoplankton
66;Sebastes;Sebastes;126175.0;Genus;accepted;Animalia;Chordata;Teleostei;Perciformes;Sebastidae;Sebastes;Nan;Aleutian_Islands_252;Rockfish
67;Eumetopias jubatus;Eumetopias jubatus;254999.0;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Aleutian_Islands_252;SSL Adults
68;Otariidae;Otariidae;231386.0;Family;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;None;Nan;Aleutian_Islands_252;SSL embryo
69;Eumetopias jubatus;Eumetopias jubatus;254999.0;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Aleutian_Islands_252;SSL juveniles
70;Otariidae;Otariidae;231386.0;Family;accepted;Animalia;Chordata;Mammalia;Carnivora;Otariidae;None;Nan;Aleutian_Islands_252;SSL pups
71;Anoplopoma fimbria;Anoplopoma fimbria;159463.0;Species;accepted;Animalia;Chordata;Teleostei;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria;Aleutian_Islands_252;Sablefish
72;Oncorhynchus;Oncorhynchus;126140.0;Genus;accepted;Animalia;Chordata;Teleostei;Salmoniformes;Salmonidae;Oncorhynchus;Nan;Aleutian_Islands_252;Salmon
73;Ammodytes;Ammodytes;125909.0;Genus;accepted;Animalia;Chordata;Teleostei;Perciformes;Ammodytidae;Ammodytes;Nan;Aleutian_Islands_252;Sandlance
74;Enhydra lutris;Enhydra lutris;242598.0;Species;accepted;Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Enhydra;Enhydra lutris;Aleutian_Islands_252;Sea otters
75;Rajiformes;Rajiformes;10216.0;Order;accepted;Animalia;Chordata;Elasmobranchii;Rajiformes;None;None;Nan;Aleutian_Islands_252;Shark and skates
76;Somniosus;Somniosus;105779.0;Genus;accepted;Animalia;Chordata;Elasmobranchii;Squaliformes;Somniosidae;Somniosus;Nan;Aleutian_Islands_252;Shark mammal eater
77;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Aleutian_Islands_252;Shrimps
78;Phocidae;Phocidae;136976.0;Family;accepted;Animalia;Chordata;Mammalia;Carnivora;Phocidae;None;Nan;Aleutian_Islands_252;Small mammals
79;Clupeidae;Clupeidae;125464.0;Family;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;None;Nan;Aleutian_Islands_252;Small pelagics
80;Cyclopoida;Cyclopoida;1101.0;Order;accepted;Animalia;Arthropoda;Copepoda;Cyclopoida;None;None;Nan;Aleutian_Islands_252;Small zooplankton
81;Odontoceti;Odontoceti;148723.0;Superfamily;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;None;None;Nan;Aleutian_Islands_252;Toothed whales
82;Orcinus orca;Orcinus orca;137102.0;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Orcinus;Orcinus orca;Aleutian_Islands_252;Transient orca
83;Carangidae;Carangidae;125523.0;Family;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;None;Nan;Australia_North_West_Shelf_405;AdCarangids
84;Bacillariophyta;Bacillariophyta;148898.0;Phylum;accepted;Chromista;Bacillariophyta;None;None;None;None;Nan;Australia_North_West_Shelf_405;BenPhytoplankton
85;Carcharhiniformes;Carcharhiniformes;10210.0;Order;accepted;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;None;None;Nan;Australia_North_West_Shelf_405;Coastal sharks
86;Penaeus;Penaeus;106822.0;Genus;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Penaeidae;Penaeus;Nan;Australia_North_West_Shelf_405;ComPrawns
87;Detritus;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;Detritus
88;Scomberomorus;Scomberomorus;126064.0;Genus;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomberomorus;Nan;Australia_North_West_Shelf_405;DpLgFish
89;Synodus;Synodus;125686.0;Genus;accepted;Animalia;Chordata;Teleostei;Aulopiformes;Synodontidae;Synodus;Nan;Australia_North_West_Shelf_405;DpLizard
90;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;DpMedFish
91;Mullidae;Mullidae;125547.0;Family;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;None;Nan;Australia_North_West_Shelf_405;DpMullidae
92;Nemipterus;Nemipterus;205457.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;Nemipterus;Nan;Australia_North_West_Shelf_405;DpNemipterids
93;Leiognathidae;Leiognathidae;125542.0;Family;accepted;Animalia;Chordata;Teleostei;Acanthuriformes;Leiognathidae;None;Nan;Australia_North_West_Shelf_405;DpPonyfish
94;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;DpSmFish
95;Acanthopagrus;Acanthopagrus;206669.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Acanthopagrus;Nan;Australia_North_West_Shelf_405;FryPBream
96;Carangidae;Carangidae;125523.0;Family;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;None;Nan;Australia_North_West_Shelf_405;JuvCarangids
97;Mesozooplankton;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;LgZooplankton
98;Polychaeta;Polychaeta;883.0;Class;accepted;Animalia;Annelida;Polychaeta;None;None;None;Nan;Australia_North_West_Shelf_405;Macrofauna
99;Holothuroidea;Holothuroidea;123083.0;Class;accepted;Animalia;Echinodermata;Holothuroidea;None;None;None;Nan;Australia_North_West_Shelf_405;Megabenthos
100;Bacillariophyta;Bacillariophyta;148898.0;Phylum;accepted;Chromista;Bacillariophyta;None;None;None;None;Nan;Australia_North_West_Shelf_405;Microphytobenthos
101;Phytoplankton;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;PelPhytoplankton
102;Batoidea;Batoidea;368409.0;Infraclass;accepted;Animalia;Chordata;Elasmobranchii;None;None;None;Nan;Australia_North_West_Shelf_405;Rays
103;Lutjanus sebae;Lutjanus sebae;218499.0;Species;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;Lutjanus sebae;Australia_North_West_Shelf_405;RedEmperor
104;Cirripedia;Cirripedia;1082.0;Subclass;accepted;Animalia;Arthropoda;Thecostraca;None;None;None;Nan;Australia_North_West_Shelf_405;SessEpibenthos
105;Lethrinus;Lethrinus;206059.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lethrinidae;Lethrinus;Nan;Australia_North_West_Shelf_405;ShLethrinids
106;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;ShLgFish
107;Saurida;Saurida;125685.0;Genus;accepted;Animalia;Chordata;Teleostei;Aulopiformes;Synodontidae;Saurida;Nan;Australia_North_West_Shelf_405;ShLizard
108;Lutjanus;Lutjanus;159791.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;Nan;Australia_North_West_Shelf_405;ShLutjanids
109;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;ShMedFish
110;Mullidae;Mullidae;125547.0;Family;accepted;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;None;Nan;Australia_North_West_Shelf_405;ShMullidae
111;Nemipterus;Nemipterus;205457.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;Nemipterus;Nan;Australia_North_West_Shelf_405;ShNemipterirds
112;Serranidae;Serranidae;125561.0;Family;accepted;Animalia;Chordata;Teleostei;Perciformes;Serranidae;None;Nan;Australia_North_West_Shelf_405;ShSerranids
113;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;ShSmFish
114;Haemulidae;Haemulidae;125538.0;Family;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;None;Nan;Australia_North_West_Shelf_405;ShSweetlip
115;Balistidae;Balistidae;125607.0;Family;accepted;Animalia;Chordata;Teleostei;Tetraodontiformes;Balistidae;None;Nan;Australia_North_West_Shelf_405;ShTriggerFish
116;Thunnus;Thunnus;126065.0;Genus;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Thunnus;Nan;Australia_North_West_Shelf_405;SmTunas
117;Microzooplankton;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Australia_North_West_Shelf_405;SmZooplankton
118;Clupeiformes;Clupeiformes;10297.0;Order;accepted;Animalia;Chordata;Teleostei;Clupeiformes;None;None;Nan;Australia_North_West_Shelf_405;SmallPelagics
119;Teuthida;Teuthida;11716.0;Order;nomen dubium;Animalia;Mollusca;Cephalopoda;Teuthida;None;None;Nan;Australia_North_West_Shelf_405;Squid
120;Sphyraena;Sphyraena;126084.0;Genus;accepted;Animalia;Chordata;Teleostei;Carangaria incertae sedis;Sphyraenidae;Sphyraena;Nan;Bamboung_180;Barracudas +
121;Scomberomorus trachurus;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Breton africain
122;Caranx;Caranx;125936.0;Genus;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Caranx;Nan;Bamboung_180;Carangues
123;Brachyura;Brachyura;106673.0;Infraorder;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;None;None;Nan;Bamboung_180;Crabes
124;Penaeidae;Penaeidae;106727.0;Family;accepted;Animalia;Arthropoda;Malacostraca;Decapoda;Penaeidae;None;Nan;Bamboung_180;Crevettes
125;Tursiops;Tursiops;137026.0;Genus;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Tursiops;Nan;Bamboung_180;Dauphins
126;Detritus;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bamboung_180;Detritus
127;Epinephelus;Epinephelus;126068.0;Genus;accepted;Animalia;Chordata;Teleostei;Perciformes;Epinephelidae;Epinephelus;Nan;Bamboung_180;Diagramme +
128;Elops;Elops;843434.0;Genus;junior homonym;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Elops;Nan;Bamboung_180;Elops
129;Ethmalosa fimbriata;Ethmalosa fimbriata;280725.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Ethmalosa;Ethmalosa fimbriata;Bamboung_180;Ethmalose
130;Gerres;Gerres;204064.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Gerreidae;Gerres;Nan;Bamboung_180;Gerres
131;Scomberomorus tritor;Scomberomorus tritor;127025.0;Species;accepted;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomberomorus;Scomberomorus tritor;Bamboung_180;Grand capitaine
132;Polychaeta;Polychaeta;883.0;Class;accepted;Animalia;Annelida;Polychaeta;None;None;None;Nan;Bamboung_180;Macrobenthos
133;Nematoda;Nematoda;799.0;Phylum;accepted;Animalia;Nematoda;None;None;None;None;Nan;Bamboung_180;Meiobenthos
134;Bacillariophyceae;Bacillariophyceae;148899.0;Class;accepted;Chromista;Heterokontophyta;Bacillariophyceae;None;None;None;Nan;Bamboung_180;Microphytobenth
135;Mugil;Mugil;126032.0;Genus;accepted;Animalia;Chordata;Teleostei;Mugiliformes;Mugilidae;Mugil;Nan;Bamboung_180;Mulets
136;Elops;Elops;843434.0;Genus;junior homonym;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Elops;Nan;Bamboung_180;Mâchoirons mari
137;Ardea;Ardea;159380.0;Genus;accepted;Animalia;Chordata;Aves;Ciconiiformes;Ardeidae;Ardea;Nan;Bamboung_180;Oiseaux
138;Otolithes;Otolithes;205008.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sciaenidae;Otolithes;Nan;Bamboung_180;Otolithes +
139;Gobiidae;Gobiidae;125537.0;Family;accepted;Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;None;Nan;Bamboung_180;Petits benthoph
140;Bacillariophyceae;Bacillariophyceae;148899.0;Class;accepted;Chromista;Heterokontophyta;Bacillariophyceae;None;None;None;Nan;Bamboung_180;Phytoplancton
141;Pomadasys;Pomadasys;126011.0;Genus;accepted;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Pomadasys;Nan;Bamboung_180;Pomadasys
142;Trachinotus;Trachinotus;125945.0;Genus;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachinotus;Nan;Bamboung_180;Pompaneau +
143;Dasyatis;Dasyatis;105751.0;Genus;accepted;Animalia;Chordata;Elasmobranchii;Myliobatiformes;Dasyatidae;Dasyatis;Nan;Bamboung_180;Raies
144;Carcharhinus;Carcharhinus;105719.0;Genus;accepted;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Carcharhinidae;Carcharhinus;Nan;Bamboung_180;Requins
145;Sardinella;Sardinella;125721.0;Genus;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Dorosomatidae;Sardinella;Nan;Bamboung_180;Sardinelle +
146;Solea;Solea;126132.0;Genus;accepted;Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Solea;Nan;Bamboung_180;Sole-langue +
147;Oreochromis;Oreochromis;206826.0;Genus;accepted;Animalia;Chordata;Teleostei;Cichliformes;Cichlidae;Oreochromis;Nan;Bamboung_180;Tilapias
148;Tetraodontidae;Tetraodontidae;125612.0;Family;accepted;Animalia;Chordata;Teleostei;Tetraodontiformes;Tetraodontidae;None;Nan;Bamboung_180;Tétrodon +
149;Caranx;Caranx;125936.0;Genus;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Caranx;Nan;Bamboung_180;Vivaneaux +
150;Copepoda;Copepoda;1080.0;Class;accepted;Animalia;Arthropoda;Copepoda;None;None;None;Nan;Bamboung_180;Zooplancton
151;Engraulis encrasicolus;Engraulis encrasicolus;126426.0;Species;accepted;Animalia;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;Engraulis encrasicolus;Bay_of_Biscay_335;Anchovy
152;Bacteria;Bacteria;6.0;Kingdom;accepted;Bacteria;None;None;None;None;None;Nan;Bay_of_Biscay_335;Bacteria
153;Cephalopoda;Cephalopoda;11707.0;Class;accepted;Animalia;Mollusca;Cephalopoda;None;None;None;Nan;Bay_of_Biscay_335;Benthic cephalopods
154;NO_DATA;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bay_of_Biscay_335;Benthic meiofauna
155;Merluccius merluccius;Merluccius merluccius;126484.0;Species;accepted;Animalia;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Bay_of_Biscay_335;Benthivorous demersal fish
156;Tursiops truncatus;Tursiops truncatus;137111.0;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Tursiops;Tursiops truncatus;Bay_of_Biscay_335;Bottlenose dolphins
157;Nephtys hombergii;Nephtys hombergii;130359.0;Species;accepted;Animalia;Annelida;Polychaeta;Phyllodocida;Nephtyidae;Nephtys;Nephtys hombergii;Bay_of_Biscay_335;Carnivorous benthic invertebrates
158;Delphinus delphis;Delphinus delphis;137094.0;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Delphinus;Delphinus delphis;Bay_of_Biscay_335;Common dolphins
159;Detritus;Nan;;;Not Found;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Bay_of_Biscay_335;Detritus
160;Osteichthyes;Osteichthyes;152352.0;Parvphylum;accepted;Animalia;Chordata;None;None;None;None;Nan;Bay_of_Biscay_335;Discards
161;Phocoena phocoena;Phocoena phocoena;137117.0;Species;accepted;Animalia;Chordata;Mammalia;Cetartiodactyla;Phocoenidae;Phocoena;Phocoena phocoena;Bay_of_Biscay_335;Harbour porpoises
162;Trachurus trachurus;Trachurus trachurus;126822.0;Species;accepted;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Trachurus;Trachurus trachurus;Bay_of_Biscay_335;Horse mackerel
