Unnamed: 0;file_name;node;IsAlive_chatgpt;Taxonomic Level_chatgpt;class_chatgpt_separate_session;family_chatgpt_separate_session;genus_chatgpt_separate_session;kingdom_chatgpt_separate_session;order_chatgpt_separate_session;phylum_chatgpt_separate_session;species_chatgpt_separate_session;IsAlive_x;kingdom_chatgpt;phylum_chatgpt;class_chatgpt;order_chatgpt;family_chatgpt;genus_chatgpt;species_chatgpt;kingdom_baseline;phylum_baseline;class_baseline;order_baseline;family_baseline;genus_baseline;species_baseline;IsAlive_y
11.0;aegean_sea_760;jellyfish;True;Class;Scyphozoa;;;Animalia;;Cnidaria;;True;Animalia;Cnidaria;Scyphozoa;Semaeostomeae;Ulmaridae;Aurelia;Aurelia aurita;Animalia;Cnidaria;;;;;;True
12.0;aegean_sea_760;large pelagics;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;Scombriformes;Scombridae;Thunnus;Thunnus thynnus;Animalia;;;;;;;True
13.0;aegean_sea_760;lobsters;True;Family;Malacostraca;Palinuridae;;Animalia;Decapoda;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Decapoda;Palinuridae;Palinurus;Palinurus elephas;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;;;True
14.0;aegean_sea_760;mackerels;True;Family;Actinopterygii;Scombridae;;Animalia;Scombriformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Scombriformes;Scombridae;Scomber;scombrus;Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Scomber;;True
15.0;aegean_sea_760;macrozooplankton;True;Class;Malacostraca;;;Animalia;;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Meganyctiphanes;Meganyctiphanes norvegica;Animalia;;;;;;;True
16.0;aegean_sea_760;medium pelagics;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;Carangiformes;Carangidae;Trachurus;Trachurus trachurus;Animalia;;;;;;;True
17.0;aegean_sea_760;medium-large demersals 1;True;Family;Actinopterygii;Merlucciidae;;Animalia;Gadiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Animalia;;;;;;;True
18.0;aegean_sea_760;medium-large demersals 2;True;Family;Actinopterygii;Sparidae;;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Pagellus;Pagellus erythrinus;Animalia;;;;;;;True
19.0;aegean_sea_760;micro/mesozooplankton;True;Class;Maxillopoda;;;Animalia;;Arthropoda;;True;Animalia;Arthropoda;Maxillopoda;Calanoida;Acartiidae;Acartia;Acartia clausi;Animalia;;;;;;;True
20.0;aegean_sea_760;monk seal;True;Species;Mammalia;Phocidae;Monachus;Animalia;Carnivora;Chordata;Monachus monachus;True;Animalia;Chordata;Mammalia;Carnivora;Phocidae;Monachus;Monachus monachus;Animalia;Chordata;Mammalia;Carnivora;Phocidae;;;True
21.0;aegean_sea_760;norway lobster;True;Species;Malacostraca;Nephropidae;Nephrops;Animalia;Decapoda;Arthropoda;Nephrops norvegicus;True;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Nephrops;Nephrops norvegicus;Animalia;Arthropoda;Malacostraca;Decapoda;Nephropidae;Nephrops;Nephrops norvegicus;True
22.0;aegean_sea_760;octopus and cuttlefish;True;Class;Cephalopoda;;;Animalia;;Mollusca;;True;Animalia;Mollusca;Cephalopoda;Octopoda;Octopodidae;Octopus;Octopus vulgaris;Animalia;Mollusca;Cephalopoda;;;;;True
23.0;aegean_sea_760;other gadiforms;True;Order;Actinopterygii;;;Animalia;Gadiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Gadiformes;Merlucciidae;Merluccius;Merluccius merluccius;Animalia;Chordata;Teleostei;Gadiformes;;;;True
24.0;aegean_sea_760;other small pelagics;True;Family;Actinopterygii;Engraulidae;;Animalia;Clupeiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Clupeiformes;Engraulidae;Engraulis;encrasicolus;Animalia;;;;;;;True
26.0;aegean_sea_760;picarels and bogue;True;Family;Actinopterygii;Sparidae;;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Boops;boops;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
27.0;aegean_sea_760;piscivorous deep sea fish;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Micromesistius;Micromesistius poutassou;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
28.0;aegean_sea_760;planktivorous deep sea fish;True;Family;Actinopterygii;Sternoptychidae;;Animalia;Stomiiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus muelleri;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
29.0;aegean_sea_760;polychaetes;True;Class;Polychaeta;;;Animalia;;Annelida;;True;Animalia;Annelida;Polychaeta;Phyllodocida;;;;Animalia;Annelida;Polychaeta;;;;;True
30.0;aegean_sea_760;rays and skates;True;Order;Chondrichthyes;;;Animalia;Rajiformes;Chordata;;True;Animalia;Chordata;Chondrichthyes;Rajiformes;Rajidae;Raja;Raja clavata;Animalia;Chordata;Elasmobranchii;;;;;True
31.0;aegean_sea_760;red mullets;True;Genus;Actinopterygii;Mullidae;Mullus;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Mullidae;Mullus;Mullus barbatus;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;Mullus;;True
32.0;aegean_sea_760;rockfish;True;Family;Actinopterygii;Scorpaenidae;;Animalia;Scorpaeniformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Scorpaenidae;Scorpaena;Scorpaena scrofa;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
33.0;aegean_sea_760;sea turtles;True;Order;Reptilia;;;Animalia;Testudines;Chordata;;True;Animalia;Chordata;Reptilia;Testudines;Cheloniidae;Caretta;Caretta caretta;Animalia;Chordata;;Testudines;;;;True
34.0;aegean_sea_760;seabirds;True;Class;Aves;;;Animalia;;Chordata;;True;Animalia;Chordata;Aves;Procellariiformes;Procellariidae;Calonectris;Calonectris diomedea;Animalia;Chordata;Aves;;;;;True
35.0;aegean_sea_760;sharks;True;Class;Chondrichthyes;;;Animalia;;Chordata;;True;Animalia;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Prionace;Prionace glauca;Animalia;Chordata;Elasmobranchii;;;;;True
36.0;aegean_sea_760;shelf crabs;True;Family;Malacostraca;Portunidae;;Animalia;Decapoda;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Decapoda;Portunidae;Liocarcinus;Liocarcinus depurator;Animalia;Arthropoda;Malacostraca;Decapoda;;;;True
37.0;aegean_sea_760;shrimps;True;Order;Malacostraca;;;Animalia;Decapoda;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Decapoda;Aristeidae;Aristeus;Aristeus antennatus;Animalia;Arthropoda;Malacostraca;Decapoda;;;;True
38.0;aegean_sea_760;slope crabs;True;Family;Malacostraca;Geryonidae;;Animalia;Decapoda;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Decapoda;Geryonidae;Chaceon;Chaceon mediterraneus;Animalia;Arthropoda;Malacostraca;Decapoda;;;;True
39.0;aegean_sea_760;small demersals 1;True;Order;Actinopterygii;;;Animalia;Gobiiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Gobiiformes;Gobiidae;Gobius;Gobius niger;Animalia;;;;;;;True
40.0;aegean_sea_760;small demersals 2;True;Family;Actinopterygii;Mullidae;;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Mullidae;Mullus;Mullus barbatus;Animalia;;;;;;;True
41.0;aegean_sea_760;small demersals 3;True;Family;Actinopterygii;Gobiidae;;Animalia;Gobiiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Gobiiformes;Gobiidae;Gobius;Gobius niger;Animalia;;;;;;;True
42.0;aegean_sea_760;squids;True;Order;Cephalopoda;;;Animalia;Teuthida;Mollusca;;True;Animalia;Mollusca;Cephalopoda;Teuthida;Loliginidae;Loligo;Loligo vulgaris;Animalia;Mollusca;Cephalopoda;;;;;True
43.0;aleutian_islands_252;adult pollock;True;Species;Actinopterygii;Gadidae;Gadus;Animalia;Gadiformes;Chordata;Gadus chalcogrammus;True;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;True
44.0;aleutian_islands_252;arrowtooth;True;Species;Actinopterygii;Pleuronectidae;Atheresthes;Animalia;Pleuronectiformes;Chordata;Atheresthes stomias;True;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes stomias;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Atheresthes;Atheresthes stomias;True
45.0;aleutian_islands_252;atka mackerel;True;Species;Actinopterygii;Hexagrammidae;Pleurogrammus;Animalia;Perciformes;Chordata;Pleurogrammus monopterygius;True;Animalia;Chordata;Actinopterygii;Perciformes;Hexagrammidae;Pleurogrammus;Pleurogrammus monopterygius;Animalia;Chordata;Teleostei;Perciformes;Hexagrammidae;Pleurogrammus;Pleurogrammus monopterygius;True
46.0;aleutian_islands_252;baleen whales;True;Order;Mammalia;;;Animalia;Cetacea;Chordata;;True;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;;Animalia;Chordata;Mammalia;Cetartiodactyla;;;;True
47.0;aleutian_islands_252;benthic inverts;True;Phylum;;;;Animalia;;;;True;Animalia;;;;;;;Animalia;;;;;;;True
48.0;aleutian_islands_252;birds;True;Class;Aves;;;Animalia;;Chordata;;True;Animalia;Chordata;Aves;;;;;Animalia;Chordata;Aves;;;;;True
49.0;aleutian_islands_252;cephalopods;True;Class;Cephalopoda;;;Animalia;;Mollusca;;True;Animalia;Mollusca;Cephalopoda;Oegopsida;Gonatidae;Berryteuthis;Berryteuthis magister;Animalia;Mollusca;Cephalopoda;;;;;True
50.0;aleutian_islands_252;deep l;True;Genus;Actinopterygii;Sebastidae;Sebastes;Animalia;Scorpaeniformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Sebastidae;Sebastes;Sebastes alutus;Animalia;;;;;;;True
51.0;aleutian_islands_252;dem s m;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;;;;;Animalia;;;;;;;True
53.0;aleutian_islands_252;epiben carnivores;True;Class;;;;Animalia;;;;True;Animalia;;;;;Sebastes;Sebastes alutus;Animalia;;;;;;;True
54.0;aleutian_islands_252;flatfish;True;Order;Actinopterygii;;;Animalia;Pleuronectiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Limanda;Limanda aspera;Animalia;Chordata;Teleostei;Carangiformes;;;;True
55.0;aleutian_islands_252;halibut;True;Species;Actinopterygii;Pleuronectidae;Hippoglossus;Animalia;Pleuronectiformes;Chordata;Hippoglossus stenolepis;True;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus stenolepis;Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Hippoglossus;Hippoglossus stenolepis;True
56.0;aleutian_islands_252;herring;True;Species;Actinopterygii;Clupeidae;Clupea;Animalia;Clupeiformes;Chordata;Clupea pallasii;True;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Clupea;Clupea pallasii;Animalia;Chordata;Teleostei;Clupeiformes;Clupeidae;Clupea;Clupea pallasii;True
57.0;aleutian_islands_252;juvenile pollock;True;Species;Actinopterygii;Gadidae;Gadus;Animalia;Gadiformes;Chordata;Gadus chalcogrammus;True;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus chalcogrammus;True
58.0;aleutian_islands_252;large pelagics;True;Class;Chondrichthyes;;;Animalia;;Chordata;;True;Animalia;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Lamna;Lamna ditropis;Animalia;;;;;;;True
59.0;aleutian_islands_252;large pred demersals;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Gadus;Gadus macrocephalus;Animalia;;;;;;;True
60.0;aleutian_islands_252;large zooplankton;True;Phylum;;;;Animalia;;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Euphausia pacifica;Animalia;;;;;;;True
61.0;aleutian_islands_252;macrophytes;True;Phylum;;;;Chromista;;Ochrophyta;;True;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Nereocystis;Nereocystis luetkeana;Plantae;;;;;;;True
62.0;aleutian_islands_252;myctophids;True;Family;Actinopterygii;Myctophidae;;Animalia;Myctophiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Myctophiformes;Myctophidae;Stenobrachius;Stenobrachius leucopsarus;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;;;True
64.0;aleutian_islands_252;pacific cod;True;Species;Actinopterygii;Gadidae;Gadus;Animalia;Gadiformes;Chordata;Gadus macrocephalus;True;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Gadus;Gadus macrocephalus;Animalia;Chordata;Teleostei;Gadiformes;Gadidae;Gadus;Gadus macrocephalus;True
63.0;aleutian_islands_252;pop;True;Species;Actinopterygii;Sebastidae;Sebastes;Animalia;Scorpaeniformes;Chordata;Sebastes alutus;True;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Sebastidae;Sebastes;Sebastes alutus;Animalia;Chordata;Teleostei;Perciformes;Sebastidae;Sebastes;Sebastes alutus;True
66.0;aleutian_islands_252;rockfish;True;Genus;Actinopterygii;Sebastidae;Sebastes;Animalia;Scorpaeniformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Sebastidae;Sebastes;Sebastes spp.;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
71.0;aleutian_islands_252;sablefish;True;Species;Actinopterygii;Anoplopomatidae;Anoplopoma;Animalia;Scorpaeniformes;Chordata;Anoplopoma fimbria;True;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria;Animalia;Chordata;Teleostei;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria;True
72.0;aleutian_islands_252;salmon;True;Genus;Actinopterygii;Salmonidae;Oncorhynchus;Animalia;Salmoniformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;Oncorhynchus keta;Animalia;Chordata;Teleostei;Salmoniformes;Salmonidae;Oncorhynchus;;True
73.0;aleutian_islands_252;sandlance;True;Species;Actinopterygii;Ammodytidae;Ammodytes;Animalia;Perciformes;Chordata;Ammodytes hexapterus;True;Animalia;Chordata;Actinopterygii;Perciformes;Ammodytidae;Ammodytes;Ammodytes hexapterus;Animalia;Chordata;Teleostei;Perciformes;Ammodytidae;Ammodytes;Ammodytes hexapterus;True
74.0;aleutian_islands_252;sea otters;True;Species;Mammalia;Mustelidae;Enhydra;Animalia;Carnivora;Chordata;Enhydra lutris;True;Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Enhydra;Enhydra lutris;Animalia;Chordata;Mammalia;Carnivora;Mustelidae;Enhydra;Enhydra lutris;True
75.0;aleutian_islands_252;shark and skates;True;Class;Chondrichthyes;;;Animalia;;Chordata;;True;Animalia;Chordata;Chondrichthyes;Squaliformes;Squalidae;Squalus;Squalus acanthias;Animalia;Chordata;Elasmobranchii;;;;;True
76.0;aleutian_islands_252;shark mammal eater;True;Family;Chondrichthyes;Lamnidae;;Animalia;Lamniformes;Chordata;;True;Animalia;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Carcharodon;Carcharodon carcharias;Animalia;Chordata;Elasmobranchii;;;;;True
77.0;aleutian_islands_252;shrimps;True;Order;Malacostraca;;;Animalia;Decapoda;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Decapoda;Pandalidae;Pandalus;Pandalus borealis;Animalia;Arthropoda;Malacostraca;Decapoda;;;;True
78.0;aleutian_islands_252;small mammals;True;Class;Mammalia;;;Animalia;;Chordata;;True;Animalia;Chordata;Mammalia;;;;;Animalia;Chordata;Mammalia;;;;;True
79.0;aleutian_islands_252;small pelagics;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Clupea;Clupea pallasii;Animalia;;;;;;;True
80.0;aleutian_islands_252;small zooplankton;True;Phylum;;;;Animalia;;Arthropoda;;True;Animalia;Arthropoda;Copepoda;Calanoida;Calanidae;Calanus;Calanus pacificus;Animalia;;;;;;;True
67.0;aleutian_islands_252;ssl adults;True;Species;Mammalia;Otariidae;Eumetopias;Animalia;Carnivora;Chordata;Eumetopias jubatus;True;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;True
68.0;aleutian_islands_252;ssl embryo;True;Species;Mammalia;Otariidae;Eumetopias;Animalia;Carnivora;Chordata;Eumetopias jubatus;True;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;True
69.0;aleutian_islands_252;ssl juveniles;True;Species;Mammalia;Otariidae;Eumetopias;Animalia;Carnivora;Chordata;Eumetopias jubatus;True;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;True
70.0;aleutian_islands_252;ssl pups;True;Species;Mammalia;Otariidae;Eumetopias;Animalia;Carnivora;Chordata;Eumetopias jubatus;True;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;Animalia;Chordata;Mammalia;Carnivora;Otariidae;Eumetopias;Eumetopias jubatus;True
81.0;aleutian_islands_252;toothed whales;True;Order;Mammalia;;;Animalia;Cetacea;Chordata;;True;Animalia;Chordata;Mammalia;Cetacea;;;;Animalia;Chordata;Mammalia;Cetartiodactyla;;;;True
82.0;aleutian_islands_252;transient orca;True;Species;Mammalia;Delphinidae;Orcinus;Animalia;Cetacea;Chordata;Orcinus orca;True;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Orcinus;Orcinus orca;Animalia;Chordata;Mammalia;Cetartiodactyla;Delphinidae;Orcinus;Orcinus orca;True
83.0;australia_north_west_shelf_405;adcarangids;True;Family;Actinopterygii;Carangidae;;Animalia;Carangiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Carangiformes;Carangidae;;;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;;;True
85.0;australia_north_west_shelf_405;coastal sharks;True;Class;Chondrichthyes;;;Animalia;;Chordata;;True;Animalia;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;;;Animalia;Chordata;Elasmobranchii;;;;;True
86.0;australia_north_west_shelf_405;comprawns;True;Family;Malacostraca;Penaeidae;;Animalia;Decapoda;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Decapoda;Penaeidae;Penaeus;Penaeus merguiensis;Animalia;Arthropoda;Malacostraca;Decapoda;;;;True
88.0;australia_north_west_shelf_405;dplgfish;True;Class;Chondrichthyes;;;Animalia;;Chordata;;True;Animalia;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus leucas;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
89.0;australia_north_west_shelf_405;dplizard;True;Family;Actinopterygii;Synodontidae;;Animalia;Aulopiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Aulopiformes;Synodontidae;Saurida;Saurida undosquamis;Animalia;Chordata;Teleostei;Aulopiformes;Synodontidae;;;True
90.0;australia_north_west_shelf_405;dpmedfish;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Lutjanidae;Pristipomoides;Pristipomoides filamentosus;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
91.0;australia_north_west_shelf_405;dpmullidae;True;Family;Actinopterygii;Mullidae;;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Mullidae;;;Animalia;Chordata;Teleostei;Mulliformes;Mullidae;;;True
92.0;australia_north_west_shelf_405;dpnemipterids;True;Family;Actinopterygii;Nemipteridae;;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Nemipteridae;;;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Nemipteridae;;;True
93.0;australia_north_west_shelf_405;dpponyfish;True;Family;Actinopterygii;Leiognathidae;;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Leiognathidae;;;Animalia;Chordata;Teleostei;Acanthuriformes;Leiognathidae;Photopectoralis;Photopectoralis bindus;True
94.0;australia_north_west_shelf_405;dpsmfish;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;Myctophiformes;Myctophidae;;;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
95.0;australia_north_west_shelf_405;frypbream;True;Family;Actinopterygii;Sparidae;;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;;;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Argyrops;Argyrops spinifer;True
96.0;australia_north_west_shelf_405;juvcarangids;True;Family;Actinopterygii;Carangidae;;Animalia;Carangiformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Carangiformes;Carangidae;;;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;;;True
97.0;australia_north_west_shelf_405;lgzooplankton;True;Phylum;;;;Animalia;;Arthropoda;;True;Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Nyctiphanes;Nyctiphanes australis;Animalia;;;;;;;True
98.0;australia_north_west_shelf_405;macrofauna;True;Phylum;;;;Animalia;;Annelida;;True;Animalia;Annelida;Polychaeta;;;;;Animalia;;;;;;;True
99.0;australia_north_west_shelf_405;megabenthos;True;Phylum;;;;Animalia;;Echinodermata;;True;Animalia;Echinodermata;Holothuroidea;Aspidochirotida;Holothuriidae;Holothuria;Holothuria atra;Animalia;;;;;;;True
102.0;australia_north_west_shelf_405;rays;True;Class;Chondrichthyes;;;Animalia;;Chordata;;True;Animalia;Chordata;Chondrichthyes;Myliobatiformes;Dasyatidae;;;Animalia;Chordata;Elasmobranchii;;;;;True
103.0;australia_north_west_shelf_405;redemperor;True;Species;Actinopterygii;Lutjanidae;Lutjanus;Animalia;Perciformes;Chordata;Lutjanus sebae;True;Animalia;Chordata;Actinopterygii;Perciformes;Lutjanidae;Lutjanus;Lutjanus sebae;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lutjanidae;Lutjanus;Lutjanus sebae;True
104.0;australia_north_west_shelf_405;sessepibenthos;True;Phylum;;;;Animalia;;Cnidaria;;True;Animalia;Cnidaria;Anthozoa;Scleractinia;;;;Animalia;;;;;;;True
105.0;australia_north_west_shelf_405;shlethrinids;True;Family;Actinopterygii;Lethrinidae;;Animalia;Perciformes;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Lethrinidae;Lethrinus;;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Lethrinidae;Lethrinus;;True
106.0;australia_north_west_shelf_405;shlgfish;True;Class;Actinopterygii;;;Animalia;;Chordata;;True;Animalia;Chordata;Actinopterygii;Perciformes;Lutjanidae;Lutjanus;Lutjanus bohar;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;;;True
