,file_name,node,IsAlive_chatgpt,Taxonomic Level_chatgpt,class_chatgpt,family_chatgpt,genus_chatgpt,kingdom_chatgpt,order_chatgpt,phylum_chatgpt,species_chatgpt
82,Aleutian_Islands_252,Transient orca,True,Species,Mammalia,Delphinidae,Orcinus,Animalia,Cetacea,Chordata,Orcinus orca
83,Australia_North_West_Shelf_405,AdCarangids,True,Family,Actinopterygii,Carangidae,,Animalia,Carangiformes,Chordata,
84,Australia_North_West_Shelf_405,BenPhytoplankton,True,Phylum,,,,Chromista,,Bacillariophyta,
85,Australia_North_West_Shelf_405,Coastal sharks,True,Class,Chondrichthyes,,,Animalia,,Chordata,
86,Australia_North_West_Shelf_405,ComPrawns,True,Family,Malacostraca,Penaeidae,,Animalia,Decapoda,Arthropoda,
87,Australia_North_West_Shelf_405,Detritus,False,Kingdom,,,,,,,
88,Australia_North_West_Shelf_405,DpLgFish,True,Class,Chondrichthyes,,,Animalia,,Chordata,
89,Australia_North_West_Shelf_405,DpLizard,True,Family,Actinopterygii,Synodontidae,,Animalia,Aulopiformes,Chordata,
90,Australia_North_West_Shelf_405,DpMedFish,True,Class,Actinopterygii,,,Animalia,,Chordata,
91,Australia_North_West_Shelf_405,DpMullidae,True,Family,Actinopterygii,Mullidae,,Animalia,Perciformes,Chordata,
92,Australia_North_West_Shelf_405,DpNemipterids,True,Family,Actinopterygii,Nemipteridae,,Animalia,Perciformes,Chordata,
93,Australia_North_West_Shelf_405,DpPonyfish,True,Family,Actinopterygii,Leiognathidae,,Animalia,Perciformes,Chordata,
94,Australia_North_West_Shelf_405,DpSmFish,True,Class,Actinopterygii,,,Animalia,,Chordata,
95,Australia_North_West_Shelf_405,FryPBream,True,Family,Actinopterygii,Sparidae,,Animalia,Perciformes,Chordata,
96,Australia_North_West_Shelf_405,JuvCarangids,True,Family,Actinopterygii,Carangidae,,Animalia,Carangiformes,Chordata,
97,Australia_North_West_Shelf_405,LgZooplankton,True,Phylum,,,,Animalia,,Arthropoda,
98,Australia_North_West_Shelf_405,Macrofauna,True,Phylum,,,,Animalia,,Annelida,
99,Australia_North_West_Shelf_405,Megabenthos,True,Phylum,,,,Animalia,,Echinodermata,
100,Australia_North_West_Shelf_405,Microphytobenthos,True,Class,Bacillariophyceae,,,Chromista,,Bacillariophyta,
101,Australia_North_West_Shelf_405,PelPhytoplankton,True,Phylum,,,,Chromista,,Bacillariophyta,
102,Australia_North_West_Shelf_405,Rays,True,Class,Chondrichthyes,,,Animalia,,Chordata,
103,Australia_North_West_Shelf_405,RedEmperor,True,Species,Actinopterygii,Lutjanidae,Lutjanus,Animalia,Perciformes,Chordata,Lutjanus sebae
104,Australia_North_West_Shelf_405,SessEpibenthos,True,Phylum,,,,Animalia,,Cnidaria,
105,Australia_North_West_Shelf_405,ShLethrinids,True,Family,Actinopterygii,Lethrinidae,,Animalia,Perciformes,Chordata,
106,Australia_North_West_Shelf_405,ShLgFish,True,Class,Actinopterygii,,,Animalia,,Chordata,
107,Australia_North_West_Shelf_405,ShLizard,True,Family,Actinopterygii,Synodontidae,,Animalia,Aulopiformes,Chordata,
108,Australia_North_West_Shelf_405,ShLutjanids,True,Family,Actinopterygii,Lutjanidae,,Animalia,Perciformes,Chordata,
109,Australia_North_West_Shelf_405,ShMedFish,True,Class,Actinopterygii,,,Animalia,,Chordata,
110,Australia_North_West_Shelf_405,ShMullidae,True,Family,Actinopterygii,Mullidae,,Animalia,Perciformes,Chordata,
111,Australia_North_West_Shelf_405,ShNemipterirds,True,Family,Actinopterygii,Nemipteridae,,Animalia,Perciformes,Chordata,
112,Australia_North_West_Shelf_405,ShSerranids,True,Family,Actinopterygii,Serranidae,,Animalia,Perciformes,Chordata,
113,Australia_North_West_Shelf_405,ShSmFish,True,Class,Actinopterygii,,,Animalia,,Chordata,
114,Australia_North_West_Shelf_405,ShSweetlip,True,Family,Actinopterygii,Haemulidae,,Animalia,Perciformes,Chordata,
115,Australia_North_West_Shelf_405,ShTriggerFish,True,Family,Actinopterygii,Balistidae,,Animalia,Tetraodontiformes,Chordata,
116,Australia_North_West_Shelf_405,SmTunas,True,Family,Actinopterygii,Scombridae,,Animalia,Scombriformes,Chordata,
117,Australia_North_West_Shelf_405,SmZooplankton,True,Phylum,,,,Animalia,,Arthropoda,
118,Australia_North_West_Shelf_405,SmallPelagics,True,Order,Actinopterygii,,,Animalia,Clupeiformes,Chordata,
119,Australia_North_West_Shelf_405,Squid,True,Class,Cephalopoda,,,Animalia,,Mollusca,
120,Bamboung_180,Barracudas +,True,Family,Actinopterygii,Sphyraenidae,,Animalia,Sphyraeniformes,Chordata,
121,Bamboung_180,Breton africain,True,Family,Actinopterygii,Sciaenidae,,Animalia,Perciformes,Chordata,
122,Bamboung_180,Carangues,True,Family,Actinopterygii,Carangidae,,Animalia,Carangiformes,Chordata,
123,Bamboung_180,Crabes,True,Order,Malacostraca,,,Animalia,Decapoda,Arthropoda,
124,Bamboung_180,Crevettes,True,Order,Malacostraca,,,Animalia,Decapoda,Arthropoda,
125,Bamboung_180,Dauphins,True,Family,Mammalia,Delphinidae,,Animalia,Cetacea,Chordata,
126,Bamboung_180,Detritus,False,Kingdom,,,,,,,
127,Bamboung_180,Diagramme +,True,Genus,Actinopterygii,Haemulidae,Diagramma,Animalia,Perciformes,Chordata,
128,Bamboung_180,Elops,True,Genus,Actinopterygii,Elopidae,Elops,Animalia,Elopiformes,Chordata,
129,Bamboung_180,Ethmalose,True,Species,Actinopterygii,Clupeidae,Ethmalosa,Animalia,Clupeiformes,Chordata,Ethmalosa fimbriata
130,Bamboung_180,Gerres,True,Genus,Actinopterygii,Gerreidae,Gerres,Animalia,Perciformes,Chordata,
131,Bamboung_180,Grand capitaine,True,Species,Actinopterygii,Carangidae,Seriola,Animalia,Carangiformes,Chordata,Seriola dumerili
132,Bamboung_180,Macrobenthos,True,Class,Bivalvia,,,Animalia,,Mollusca,
133,Bamboung_180,Meiobenthos,True,Class,Chromadorea,,,Animalia,,Nematoda,
134,Bamboung_180,Microphytobenth,True,Phylum,,,,Chromista,,Bacillariophyta,
135,Bamboung_180,Mulets,True,Family,Actinopterygii,Mugilidae,,Animalia,Mugiliformes,Chordata,
136,Bamboung_180,Mâchoirons mari,True,Family,Actinopterygii,Mugilidae,,Animalia,Mugiliformes,Chordata,
137,Bamboung_180,Oiseaux,True,Class,Aves,,,Animalia,,Chordata,
138,Bamboung_180,Otolithes +,True,Class,Actinopterygii,,,Animalia,,Chordata,
139,Bamboung_180,Petits benthoph,True,Class,Actinopterygii,,,Animalia,,Chordata,
140,Bamboung_180,Phytoplancton,True,Phylum,,,,Chromista,,Bacillariophyta,
141,Bamboung_180,Pomadasys,True,Genus,Actinopterygii,Haemulidae,Pomadasys,Animalia,Perciformes,Chordata,
142,Bamboung_180,Pompaneau +,True,Genus,Actinopterygii,Carangidae,Trachinotus,Animalia,Carangiformes,Chordata,
143,Bamboung_180,Raies,True,Class,Chondrichthyes,,,Animalia,,Chordata,
144,Bamboung_180,Requins,True,Class,Chondrichthyes,,,Animalia,,Chordata,
145,Bamboung_180,Sardinelle +,True,Genus,Actinopterygii,Clupeidae,Sardinella,Animalia,Clupeiformes,Chordata,
146,Bamboung_180,Sole-langue +,True,Genus,Actinopterygii,Soleidae,Solea,Animalia,Pleuronectiformes,Chordata,
147,Bamboung_180,Tilapias,True,Family,Actinopterygii,Cichlidae,,Animalia,Cichliformes,Chordata,
148,Bamboung_180,Tétrodon +,True,Family,Actinopterygii,Tetraodontidae,,Animalia,Tetraodontiformes,Chordata,
149,Bamboung_180,Vivaneaux +,True,Family,Actinopterygii,Lutjanidae,,Animalia,Lutjaniformes,Chordata,
150,Bamboung_180,Zooplancton,True,Class,Copepoda,,,Animalia,,Arthropoda,
151,Bay_of_Biscay_335,Anchovy,True,Species,Actinopterygii,Engraulidae,Engraulis,Animalia,Clupeiformes,Chordata,Engraulis encrasicolus
152,Bay_of_Biscay_335,Bacteria,True,Kingdom,,,,Bacteria,,,
153,Bay_of_Biscay_335,Benthic cephalopods,True,Class,Cephalopoda,,,Animalia,,Mollusca,
154,Bay_of_Biscay_335,Benthic meiofauna,True,Phylum,,,,Animalia,,Nematoda,
155,Bay_of_Biscay_335,Benthivorous demersal fish,True,Class,Actinopterygii,,,Animalia,,Chordata,
156,Bay_of_Biscay_335,Bottlenose dolphins,True,Species,Mammalia,Delphinidae,Tursiops,Animalia,Cetacea,Chordata,Tursiops truncatus
157,Bay_of_Biscay_335,Carnivorous benthic invertebrates,True,Phylum,,,,Animalia,,Arthropoda,
158,Bay_of_Biscay_335,Common dolphins,True,Species,Mammalia,Delphinidae,Delphinus,Animalia,Cetacea,Chordata,Delphinus delphis
159,Bay_of_Biscay_335,Detritus,False,Kingdom,,,,,,,
160,Bay_of_Biscay_335,Discards,False,Kingdom,,,,Animalia,,,
161,Bay_of_Biscay_335,Harbour porpoises,True,Species,Mammalia,Phocoenidae,Phocoena,Animalia,Cetacea,Chordata,Phocoena phocoena
162,Bay_of_Biscay_335,Horse mackerel,True,Species,Actinopterygii,Carangidae,Trachurus,Animalia,Carangiformes,Chordata,Trachurus trachurus
163,Bay_of_Biscay_335,Large phytoplankton,True,Phylum,,,,Chromista,,Ochrophyta,
164,Bay_of_Biscay_335,Long-finned pilot whales,True,Species,Mammalia,Delphinidae,Globicephala,Animalia,Cetacea,Chordata,Globicephala melas
165,Bay_of_Biscay_335,Mackerel,True,Species,Actinopterygii,Scombridae,Scomber,Animalia,Scombriformes,Chordata,Scomber scombrus
166,Bay_of_Biscay_335,Macrozooplankton,True,Phylum,,,,Animalia,,Arthropoda,
167,Bay_of_Biscay_335,Mesozooplankton,True,Class,Hexanauplia,,,Animalia,,Arthropoda,
168,Bay_of_Biscay_335,Microzooplankton,True,Class,Noctilucophyceae,,,Eukaryota/Protista,,Dinoflagellata,
169,Bay_of_Biscay_335,Necrophagous benthic invertebrates,True,Phylum,,,,Animalia,,Arthropoda,
170,Bay_of_Biscay_335,Pelagic cephalopods,True,Class,Cephalopoda,,,Animalia,,Mollusca,
171,Bay_of_Biscay_335,Piscivorous and benthivorous demersal fish,True,Class,Actinopterygii,,,Animalia,,Chordata,
172,Bay_of_Biscay_335,Piscivorous demersal fish,True,Class,Actinopterygii,,,Animalia,,Chordata,
173,Bay_of_Biscay_335,Pursuit divers seabirds,True,Class,Aves,,,Animalia,,Chordata,
174,Bay_of_Biscay_335,Sardine,True,Species,Actinopterygii,Clupeidae,Sardina,Animalia,Clupeiformes,Chordata,Sardina pilchardus
175,Bay_of_Biscay_335,Small phytoplankton,True,Phylum,,,,Viridiplantae/Plantae,,Chlorophyta,
176,Bay_of_Biscay_335,Sprat,True,Species,Actinopterygii,Clupeidae,Sprattus,Animalia,Clupeiformes,Chordata,Sprattus sprattus
177,Bay_of_Biscay_335,Striped dolphins,True,Species,Mammalia,Delphinidae,Stenella,Animalia,Cetacea,Chordata,Stenella coeruleoalba
178,Bay_of_Biscay_335,Sub-surface deposit feeders invertebrates,True,Phylum,,,,Animalia,,Annelida,
179,Bay_of_Biscay_335,Suprabenthic invertebrates,True,Phylum,,,,Animalia,,Arthropoda,
180,Bay_of_Biscay_335,Suprabenthivorous demersal fish,True,Class,Actinopterygii,,,Animalia,,Chordata,
181,Bay_of_Biscay_335,Surface feeders seabirds,True,Class,Aves,,,Animalia,,Chordata,
182,Bay_of_Biscay_335,Surface suspension and deposit feeders inv,True,Phylum,,,,Animalia,,Mollusca,
183,British_Columbia_Coast_478,Detritus,False,Kingdom,,,,,,,
184,British_Columbia_Coast_478,P. cod ad.,True,Species,Actinopterygii,Gadidae,Gadus,Animalia,Gadiformes,Chordata,Gadus macrocephalus
185,British_Columbia_Coast_478,P. cod juv.,True,Species,Actinopterygii,Gadidae,Gadus,Animalia,Gadiformes,Chordata,Gadus macrocephalus
186,British_Columbia_Coast_478,P. halibut ad.,True,Species,Actinopterygii,Pleuronectidae,Hippoglossus,Animalia,Pleuronectiformes,Chordata,Hippoglossus stenolepis
187,British_Columbia_Coast_478,P. halibut juv.,True,Species,Actinopterygii,Pleuronectidae,Hippoglossus,Animalia,Pleuronectiformes,Chordata,Hippoglossus stenolepis
188,British_Columbia_Coast_478,Pac. Ocean perch,True,Species,Actinopterygii,Sebastidae,Sebastes,Animalia,Scorpaeniformes,Chordata,Sebastes alutus
189,British_Columbia_Coast_478,Pac. hake,True,Species,Actinopterygii,Merlucciidae,Merluccius,Animalia,Gadiformes,Chordata,Merluccius productus
190,British_Columbia_Coast_478,arrowtooth ad.,True,Species,Actinopterygii,Pleuronectidae,Atheresthes,Animalia,Pleuronectiformes,Chordata,Atheresthes stomias
191,British_Columbia_Coast_478,arrowtooth juv.,True,Species,Actinopterygii,Pleuronectidae,Atheresthes,Animalia,Pleuronectiformes,Chordata,Atheresthes stomias
192,British_Columbia_Coast_478,birds demer pisciv,True,Class,Aves,,,Animalia,,Chordata,
193,British_Columbia_Coast_478,birds pelag pisciv,True,Class,Aves,,,Animalia,,Chordata,
194,British_Columbia_Coast_478,birds zooplanktiv,True,Class,Aves,,,Animalia,,Chordata,
195,British_Columbia_Coast_478,bivalves,True,Class,Bivalvia,,,Animalia,,Mollusca,
196,British_Columbia_Coast_478,carn. zooplankton,True,Class,Sagittoidea,,,Animalia,,Chaetognatha,
197,British_Columbia_Coast_478,chinook,True,Species,Actinopterygii,Salmonidae,Oncorhynchus,Animalia,Salmoniformes,Chordata,Oncorhynchus tshawytscha
198,British_Columbia_Coast_478,chum,True,Species,Actinopterygii,Salmonidae,Oncorhynchus,Animalia,Salmoniformes,Chordata,Oncorhynchus keta
199,British_Columbia_Coast_478,coho,True,Species,Actinopterygii,Salmonidae,Oncorhynchus,Animalia,Salmoniformes,Chordata,Oncorhynchus kisutch
200,British_Columbia_Coast_478,crabs,True,Order,Malacostraca,,,Animalia,Decapoda,Arthropoda,
201,British_Columbia_Coast_478,dogfish,True,Species,Chondrichthyes,Squalidae,Squalus,Animalia,Squaliformes,Chordata,Squalus suckleyi
202,British_Columbia_Coast_478,echinoderms,True,Phylum,,,,Animalia,,Echinodermata,
203,British_Columbia_Coast_478,flatfish other,True,Order,Actinopterygii,,,Animalia,Pleuronectiformes,Chordata,
204,British_Columbia_Coast_478,herb. zooplankton,True,Class,Copepoda,,,Animalia,,Arthropoda,
205,British_Columbia_Coast_478,herring ad.,True,Species,Actinopterygii,Clupeidae,Clupea,Animalia,Clupeiformes,Chordata,Clupea pallasii
206,British_Columbia_Coast_478,herring juv.,True,Species,Actinopterygii,Clupeidae,Clupea,Animalia,Clupeiformes,Chordata,Clupea pallasii
207,British_Columbia_Coast_478,jellies,True,Phylum,,,,Animalia,,Cnidaria,
208,British_Columbia_Coast_478,krill,True,Order,Malacostraca,,,Animalia,Euphausiacea,Arthropoda,
209,British_Columbia_Coast_478,large squids,True,Class,Cephalopoda,,,Animalia,,Mollusca,
210,British_Columbia_Coast_478,lingcod,True,Species,Actinopterygii,Hexagrammidae,Ophiodon,Animalia,Perciformes,Chordata,Ophiodon elongatus
211,British_Columbia_Coast_478,macrophytes,True,Class,Phaeophyceae,,,Chromista,,Ochrophyta,
212,British_Columbia_Coast_478,misc. pred. pelagics,True,Order,Actinopterygii,,,Animalia,Salmoniformes,Chordata,
213,British_Columbia_Coast_478,misc. small demersals,True,Order,Actinopterygii,,,Animalia,Scorpaeniformes,Chordata,
214,British_Columbia_Coast_478,misc. small pelagics,True,Order,Actinopterygii,,,Animalia,Clupeiformes,Chordata,
215,British_Columbia_Coast_478,myctophids,True,Family,Actinopterygii,Myctophidae,,Animalia,Myctophiformes,Chordata,
216,British_Columbia_Coast_478,mysticetae,True,Order,Mammalia,,,Animalia,Cetacea,Chordata,
217,British_Columbia_Coast_478,odontocetae,True,Order,Mammalia,,,Animalia,Cetacea,Chordata,
218,British_Columbia_Coast_478,other benthos,True,Phylum,,,,Animalia,,,
219,British_Columbia_Coast_478,pelagic sharks,True,Class,Chondrichthyes,,,Animalia,,Chordata,
220,British_Columbia_Coast_478,phytoplankton,True,Phylum,,,,Chromista,,Bacillariophyta,
221,British_Columbia_Coast_478,pink,True,Species,Actinopterygii,Salmonidae,Oncorhynchus,Animalia,Salmoniformes,Chordata,Oncorhynchus gorbuscha
222,British_Columbia_Coast_478,pollock ad.,True,Species,Actinopterygii,Gadidae,Gadus,Animalia,Gadiformes,Chordata,Gadus chalcogrammus
223,British_Columbia_Coast_478,pollock juv.,True,Species,Actinopterygii,Gadidae,Gadus,Animalia,Gadiformes,Chordata,Gadus chalcogrammus
224,British_Columbia_Coast_478,rajidae / ratfish,True,Class,Chondrichthyes,,,Animalia,,Chordata,
225,British_Columbia_Coast_478,rock sole,True,Species,Actinopterygii,Pleuronectidae,Lepidopsetta,Animalia,Pleuronectiformes,Chordata,Lepidopsetta bilineata
226,British_Columbia_Coast_478,rockfish other,True,Genus,Actinopterygii,Sebastidae,Sebastes,Animalia,Scorpaeniformes,Chordata,
227,British_Columbia_Coast_478,sablefish ad.,True,Species,Actinopterygii,Anoplopomatidae,Anoplopoma,Animalia,Scorpaeniformes,Chordata,Anoplopoma fimbria
228,British_Columbia_Coast_478,sablefish juv.,True,Species,Actinopterygii,Anoplopomatidae,Anoplopoma,Animalia,Scorpaeniformes,Chordata,Anoplopoma fimbria
229,British_Columbia_Coast_478,salmon shark,True,Species,Chondrichthyes,Lamnidae,Lamna,Animalia,Lamniformes,Chordata,Lamna ditropis
230,British_Columbia_Coast_478,sea lions,True,Family,Mammalia,Otariidae,,Animalia,Carnivora,Chordata,
231,British_Columbia_Coast_478,seals,True,Family,Mammalia,Phocidae,,Animalia,Carnivora,Chordata,
232,British_Columbia_Coast_478,shrimps,True,Order,Malacostraca,,,Animalia,Decapoda,Arthropoda,
233,British_Columbia_Coast_478,small squids,True,Class,Cephalopoda,,,Animalia,,Mollusca,
234,British_Columbia_Coast_478,sockeye,True,Species,Actinopterygii,Salmonidae,Oncorhynchus,Animalia,Salmoniformes,Chordata,Oncorhynchus nerka
